str_id, str_name, str_suffix, str_city, str_soundex, str_status, str_rsvd, str_subdiv, str_juris
"5753","69TH","CT","LOVELAND","0000","E","0","0","2"
"6848","6TH","ST","WINDSOR","0000","E","0","0","4"
"91","6TH","ST","LOVELAND","0000","E","0","0","2"
"92","6TH","PL","LOVELAND","0000","E","0","0","2"
"93","6TH","ST","BERTHOUD","0000","E","0","0","7"
"94","6TH","ST","WELLINGTON","0000","E","0","0","9"
"95","6TH ST","CT","BERTHOUD","0000","E","0","0","7"
"96","71ST","ST","LOVELAND","0000","E","0","0","2"
"97","7TH","ST","BERTHOUD","0000","E","0","0","7"
"98","7TH","ST","LOVELAND","0000","E","0","0","2"
"5605","7TH","ST","WELLINGTON","0000","E","0","0","9"
"6849","7TH","ST","WINDSOR","0000","E","0","0","4"
"99","7TH ST","CT","BERTHOUD","0000","E","0","0","7"
"100","7TH ST","PL","BERTHOUD","0000","E","0","0","7"
"101","8TH","ST","LOVELAND","0000","E","0","0","2"
"102","8TH","ST","BERTHOUD","0000","E","0","0","7"
"6850","8TH","ST","WINDSOR","0000","E","0","0","4"
"6685","9TH","ST","WINDSOR","0000","E","0","0","4"
"103","9TH","PL","LOVELAND","0000","E","0","0","2"
"104","9TH","ST","BERTHOUD","0000","E","0","0","7"
"105","9TH","ST","FORT COLLINS","0000","E","0","0","1"
"106","9TH","ST","LOVELAND","0000","E","0","0","2"
"5977","A","ST","FORT COLLINS","A000","E","0","0","1"
"8672","A&amp;M","","FORT COLLINS","A000","P","1","0","1"
"8207","AARDVARK","","JOHNSTOWN","A631","P","0","0","6"
"107","AARON","DR","FORT COLLINS","A650","E","0","0","1"
"7847","ABACO","LN","BERTHOUD","A120","E","0","258","3"
"108","ABARR","DR","LOVELAND","A160","E","0","0","2"
"109","ABBEY","CT","LOVELAND","A100","E","0","0","2"
"110","ABBEY","RD","FORT COLLINS","A100","E","0","0","1"
"9247","ABBONDANZA","DR","LAPORTE","A153","P","0","509","3"
"111","ABBOTSFORD","ST","FORT COLLINS","A132","E","0","0","1"
"11308","ABBOTT","LN","FORT COLLINS","A130","E","0","995","1"
"112","ABENAKI","CT","RED FEATHER LAKES","A152","E","0","0","3"
"113","ABERDEEN","CT","FORT COLLINS","A163","E","0","0","1"
"7089","ABERDOUR","CIR","WINDSOR","A163","E","0","119","4"
"9048","ABERT","CT","DRAKE","A163","R","0","431","3"
"114","ABEYTA","CT","LOVELAND","A130","E","0","0","2"
"10832","ABIGAR","DR","WINDSOR","A126","P","1","967","4"
"115","ABILENE","CT","FORT COLLINS","A145","E","0","0","1"
"7217","ABRAMS","WAY","BERTHOUD","A165","E","0","153","3"
"11484","ABUNDANCE","DR","WINDSOR","A153","E","0","1031","4"
"116","ACACIA","CT","LOVELAND","A220","E","0","0","2"
"117","ACACIA","DR","ESTES PARK","A220","E","0","0","5"
"118","ACACIA","DR","LOVELAND","A220","E","0","0","2"
"119","ACADEMY","CT","FORT COLLINS","A235","E","0","0","1"
"6851","ACADEMY","CT","WINDSOR","A235","E","0","0","4"
"7212","ACADIA","AVE","LOVELAND","A230","P","1","151","2"
"120","ACKERMAN","CT","FORT COLLINS","A265","E","0","0","1"
"9673","ACOMA","CT","RED FEATHER LAKES","A250","E","0","0","3"
"8879","ACORN","DR","TIMNATH","A265","P","1","394","8"
"121","ADA","CT","RED FEATHER LAKES","A300","E","0","0","3"
"123","ADAMS","CT","WELLINGTON","A352","E","0","0","9"
"124","ADAMS","DR","WELLINGTON","A352","E","0","0","9"
"125","ADAMS","AVE","LOVELAND","A352","E","0","0","2"
"5587","ADAMS","CIR","WELLINGTON","A352","E","0","0","9"
"5544","ADAMS","","JOHNSTOWN","A352","P","1","0","6"
"6436","ADELAIDE","PL","LOVELAND","A343","E","0","38","2"
"126","ADENA","CT","LOVELAND","A350","E","0","0","2"
"127","ADLER","CT","FORT COLLINS","A346","E","0","0","1"
"6992","ADMIRAL","DR","WINDSOR","A356","E","1","118","4"
"128","ADOBE","DR","FORT COLLINS","A310","E","0","0","1"
"129","ADRIAN","DR","LOVELAND","A365","E","0","0","2"
"9921","ADRIATIC SEA","CT","LOVELAND","A363","P","1","507","2"
"5978","ADRIEL","CIR","FORT COLLINS","A364","E","0","0","1"
"130","ADRIEL","CR","FORT COLLINS","A364","E","0","0","1"
"131","ADRIEL","CT","FORT COLLINS","A364","E","0","0","1"
"132","ADRIEL","DR","FORT COLLINS","A364","E","0","0","1"
"133","ADRIEL","WAY","FORT COLLINS","A364","E","0","0","1"
"9539","AEGEAN SEA","PL","LOVELAND","A250","P","0","507","2"
"134","AERIE","LN","FORT COLLINS","A600","E","0","0","1"
"135","AFFIRMED","CT","FORT COLLINS","A165","E","0","0","1"
"136","AGAPE","WAY","FORT COLLINS","A210","E","0","0","1"
"137","AGATE","CT","LOVELAND","A230","E","0","0","2"
"138","AGATE","DR","LOVELAND","A230","E","0","0","2"
"5979","AGATE","CT","FORT COLLINS","A230","E","0","0","1"
"8673","AGGIE","","FORT COLLINS","A200","P","1","0","1"
"9974","AGNES","CT","WINDSOR","A252","P","0","708","4"
"10291","AGUA DULCE","DR","BELLVUE","A200","P","0","854","3"
"9975","AIKENS","RD","WINDSOR","A252","P","0","708","4"
"139","AIRPARK","DR","FORT COLLINS","A616","E","0","0","1"
"140","AIRWAY","AVE","FORT COLLINS","A600","E","0","0","1"
"7702","AJAX CANYON","","LIVERMORE","A220","E","0","226","3"
"141","AKIN","AVE","FORT COLLINS","A250","E","0","0","1"
"142","AKRON","CT","LOVELAND","A265","E","0","0","2"
