Timestamp,mean_Temp,mean_pH,mean_Conductivity,mean_Turbidity
2018-02-05,8.1199922564,8.405587196399999,0.3776496052,2.1655202866
2018-02-06,8.089372158333333,8.402880668333333,0.3770694783333333,2.3069203296666667
2018-02-07,8.132462660666667,8.413393020833333,0.3777353961666667,2.413933476
2018-02-08,8.114056746166666,8.414624691,0.3786033738333333,2.073987802
2018-02-09,8.173199017833333,8.429947853166667,0.3789838155,2.027258277
2018-02-10,7.9162960049999995,8.419260978833332,0.378573522,2.0147746006666667
2018-02-11,8.070680459333333,8.412735303,0.37592806916666666,2.063999573333333
2018-02-12,8.333076794833334,8.439798355,0.3720934341666667,1.8628145258333333
2018-02-13,8.3920052845,8.440135796833333,0.36940026766666667,1.8613884448333333
2018-02-14,8.445511818,8.4547430675,0.36828244716666664,1.8474767805
2018-02-15,8.4821101825,8.437239011166668,0.36673668516666663,1.7986074091666666
2018-02-16,8.57992061,8.433805783666667,0.3661659706666667,1.7565151056666668
2018-02-17,8.6566847165,8.434142589666667,0.36381178599999997,1.7971803943333333
2018-02-18,8.732878843833333,8.429248809666667,0.36375224566666664,1.8489032786666666
2018-02-19,8.730310122166667,8.421949545333334,0.36328852166666664,1.8442655605
2018-02-20,8.676517963666667,8.404241720666667,0.3637046961666667,1.8678088981666665
2018-02-21,8.760273615666666,8.3882983525,0.3637165821666667,1.8364191055
2018-02-22,8.533120314333333,8.401049931666666,0.363312299,1.7875497536666667
2018-02-23,8.675662040999999,8.376562595166666,0.363859236,1.8046711881666666
2018-02-24,8.625080585333333,8.421857833833334,0.3647868833333333,1.7879058916666666
2018-02-25,8.937630176499999,8.377661387,0.363859236,1.7625793816666666
2018-02-26,8.977296352666666,8.395976543333333,0.36332418499999997,1.948426207
2018-02-27,9.0278066,8.4162893295,0.364180406,2.7417506376666667
2018-02-28,9.100004832,8.429806550166667,0.36429918299999997,2.2052575946666666
2018-03-01,9.3414270085,8.411570230999999,0.3641505191666667,1.5160923201666667
2018-03-02,9.281642278166666,8.406626542666666,0.35963232316666666,1.6323804855000001
2018-03-03,9.072110176166667,8.429015636333334,0.35487026,1.5663887066666666
2018-03-04,9.153511206166666,8.435740788833334,0.35009046416666667,1.5064616998333333
2018-03-05,8.999412695666667,8.418112437,0.35479889816666665,2.3372406761666666
2018-03-06,8.926643371499999,8.388373375,0.35588087133333335,2.881938219
2018-03-07,8.8299037615,8.381506443,0.3563980858333333,2.4446105161666667
2018-03-08,9.145521005,8.370170434166667,0.35729577166666665,2.3582865793333334
2018-03-09,9.204307079333333,8.3670077325,0.35758107916666665,2.2530570428333334
2018-03-10,9.3449937505,8.349245866,0.358080566,2.3001432815
2018-03-11,9.249466737166667,8.346074581,0.355476737,2.195269386
2018-03-12,9.477404753333333,8.346365769666667,0.35563127683333334,2.090397497
2018-03-13,9.551172892333334,8.336244901,0.3553339838333333,2.028685847833333
2018-03-14,9.614381631166667,8.328429381,0.3555956135,2.0732740163333334
2018-03-15,9.7385168075,8.320205847333334,0.35526265700000004,2.03653425
2018-03-16,9.711692333166667,8.298365751833334,0.36223042483333334,2.0251184503333333
2018-03-17,9.931569098833332,8.2953281405,0.3643467375,2.139979620666667
2018-03-18,10.0238858845,8.285472869833335,0.3652504581666667,2.1046648421666667
2018-03-19,10.197247346666666,8.267569542,0.3630744415,2.1310617526666666
2018-03-20,10.067832311,8.279580434166666,0.36236107316666666,1.9965822695
2018-03-21,10.238269171666666,8.271573225500001,0.36567851883333335,1.956629773
2018-03-22,10.547964891666666,8.273820400166667,0.3648343035,1.898485919
2018-03-23,10.921084563333334,8.218087832166667,0.360934377,1.8574640153333333
2018-03-24,10.818066913333332,8.270574092833334,0.3608486652,2.1674464346666666
2018-03-25,10.644133886666667,8.288768927166666,0.3751313685,1.9751787185
2018-03-26,10.740303356666667,8.257656733166666,0.37427524700000003,2.045808216166667
2018-03-27,10.743157545,8.243698596833333,0.375095606,1.8182262778333333
2018-03-28,10.837328911666667,8.230755965,0.3737341511666667,2.1403367518333334
2018-03-29,10.90417687,8.206319014333333,0.37418004383333336,1.8007477125
2018-03-30,10.795807838333333,8.1941339175,0.3740968801666667,1.7518773673333334
2018-03-31,10.706059138333334,8.199127515166667,0.3733120361666667,1.6505723196666666
2018-04-01,10.976374943333333,8.151385466333334,0.3738235086666667,1.5321438511666665
2018-04-02,11.025711693333333,8.135791619333334,0.37598758916666664,1.5396351616666666
2018-04-03,11.025429090000001,8.1356544495,0.37466169883333333,1.5353550513333334
2018-04-04,11.025342306666667,8.135592142833334,0.37413249416666666,1.5064612028333333
2018-04-05,11.025642871666667,8.1356544495,0.3728839756666667,1.4904096723333333
2018-04-06,11.025427341666667,8.1357208885,0.370708307,1.4294122658333333
2018-04-07,11.025464216666666,8.135679403833334,0.3710649415,1.6056264439999999
2018-04-08,11.02570041,8.135787486833333,0.36809235816666663,1.6445085403333333
2018-04-09,11.025550685,8.135804176,0.3671172608333333,1.628099382
2018-04-10,11.025506495,8.135804176,0.3685202848333333,1.5424897275
2018-04-11,11.025467555,8.135804176,0.3687106571666667,1.801818629
2018-04-12,11.025578816666666,8.1358501115,0.3672361375,1.4408270518333333
2018-04-13,11.026015598333334,8.135904312000001,0.3650900225,1.4629423618333333
2018-04-14,11.025613623333333,8.135804176,0.3632171945,1.850330333
2018-04-16,11.025597384000001,8.135804176,0.3618974088,1.516163945
2018-04-17,11.025365673333333,8.1360294025,0.3621234148333333,1.4982571205
2018-04-18,11.025572935,8.135829130500001,0.3648759425,1.7568712233333335
