Timestamp,"Turbidity, NTU","Conductivity, mS cm-1","PC, 2-5 um","PC, 5-10 um","PC, 10-15 um","PC, 15-25 um","PC, 25-50 um","PC, 50-75 um","PC, 75-100 um","PC, over 100 um","pH, SU","Temperature, deg C"
2/10/2018 16:00,2.078625679,0.377628207,2305.75,1754.800049,401.4020081,99.90241241,48.59000015,2.31847477,0.13757363,0.001,8.421358109,7.608384132
2/10/2018 20:00,2.172797918,0.377949178,2397.5,1814.25,438.6040039,117.2238464,55.22999954,2.345458508,0.141304299,0.001,8.404878616,8.264160156
2/11/2018 0:00,2.20490098,0.376344323,2238.300049,1617.300049,383.6580505,93.5690155,43.88000107,2.372442245,0.145034984,0.001,8.410571098,8.256455421
2/11/2018 4:00,2.256268263,0.378056169,2543.699951,1717.850098,397.1787415,92.57280731,51.45500183,2.399425745,0.148765653,0.001,8.400483131,8.258167267
2/11/2018 8:00,2.155673504,0.376344323,2500.899902,1584.800049,338.4830017,98.09300232,42.84000015,2.426409483,0.152496323,0.001,8.38839817,8.287275314
2/11/2018 12:00,1.945927739,0.375274122,2465.399902,1776,402.7263184,95.36183167,53.84000015,2.453393221,0.156227008,0.001,8.42884922,7.859222889
2/11/2018 16:00,1.943787932,0.375345558,2140.950195,1432.100098,334.5759888,91.31451416,45.13999939,2.480376959,0.159957677,0.001,8.391095161,7.890897751
2/11/2018 20:00,1.877439022,0.37420392,2613.899902,1566.599976,342.9593201,94.35838318,53.6780014,2.507360697,0.163688362,0.001,8.457015038,7.872064114
2/12/2018 0:00,1.877439022,0.37420392,2098.800049,1217.099976,287.8250122,90.28479767,32.86999893,2.534344196,0.167419031,0.001,8.430047989,8.267584801
2/12/2018 4:00,1.928806305,0.37420392,2583.225098,1504.842407,342.362793,94.26560974,48.66249847,2.561327934,0.171149701,0.001,8.43963623,8.346346855
2/12/2018 8:00,1.84533596,0.372063518,2264,1134.099976,237.285553,83.33037567,35.56999969,2.588311672,0.174880385,0.001,8.438062668,8.319807053
2/12/2018 12:00,1.930946112,0.370779634,2600.866699,1447.699951,331.1465759,97.10140228,50.86999893,2.61529541,0.178611055,0.001,8.42675209,8.377165794
2/12/2018 16:00,1.819652319,0.370672643,2015.900024,1039.400024,235.7599945,78.54327393,36.06000137,2.642279148,0.182341725,0.001,8.449673653,8.35833168
2/12/2018 20:00,1.774707437,0.37063697,2451.25,1203.230713,272.5537415,88.38412476,44.4090004,2.669262648,0.186072409,0.001,8.4546175,8.329224586
2/13/2018 0:00,1.96519196,0.370351672,2159.5,1059.449951,252.2949982,68.15592957,38.77500153,2.696246386,0.189803079,0.001,8.443831444,8.331792831
2/13/2018 4:00,2.048662186,0.369780868,2743.550049,1103.550049,253.6600037,70.47000122,32.33250046,2.723230124,0.193533763,0.001,8.424055099,8.366891861
2/13/2018 8:00,2.052941799,0.369067192,2095.550049,947.7250366,236.3249969,69.34764862,37.43249893,2.750213861,0.197264433,0.001,8.431695938,8.282995224
2/13/2018 12:00,1.84533596,0.366926789,2519.699951,1152.333374,282.210083,89.04322815,45.22999954,2.564839363,0.191588432,0.001,8.413417816,8.419971466
2/13/2018 16:00,1.639869809,0.369495451,2116.800049,903.7000122,195.7362518,76.34614563,45.27999878,1.795687556,0.160053283,0.001,8.451322556,8.490171432
2/13/2018 20:00,1.616328955,0.370779634,1631.5,727.4500122,183.2561646,79.23905182,37.0633316,1.026535749,0.128518119,0.001,8.476491928,8.460208893
2/14/2018 0:00,1.616328955,0.369495451,1820.425049,689.87146,170.8079987,30.65639877,33.47999954,0.257383943,0.096982956,0.001,8.459412575,8.450792313
2/14/2018 4:00,1.620608568,0.366926789,1425.949951,550.9499512,140.9664307,59.86765289,25.63500023,1.788043857,0.065447792,0.001,8.457015038,8.455926895
2/14/2018 8:00,1.793968678,0.370779634,2006.099976,713.0999756,168.8745422,60.19444656,36.17000198,0.553826511,0.033912633,0.001,8.425553322,8.497020721
2/14/2018 12:00,1.806810498,0.366926789,213.6699982,0.982248485,0.438059241,0.045651011,0.006058981,0.001,0.002377473,0.001,8.455966949,8.458496094
2/14/2018 16:00,2.658638477,0.366926789,2539.842773,1539.633301,473.3099976,142.7781067,67.50999451,4.034827709,0.446561098,0.742978573,8.478888512,8.413978577
2/14/2018 20:00,1.588505507,0.368639231,3023.299805,1030.650024,320.5349731,117.8456955,51.37250137,2.673043489,0.439384252,0.731027246,8.451622009,8.396856308
