"","Timestamp","Ferric.chloride..mg.L","Cationic.Polimer..mg.L","mean_Temp","mean_pH","mean_Conductivity","mean_Turbidity","Temp_lag1","Temp_lag2","pH_lag1","pH_lag2","Cond_lag1","Cond_lag2","Turb_lag1","Turb_lag2","FeCl_change","Polymer_change"
"523","2019-07-24",18,1.799999952,12.3800314266667,6.96197628966667,0.384055137666667,1.88992520183333,12.3245274216667,12.2617460916667,6.959129731,6.95749839166667,0.383977591833333,0.382996772666667,1.96340779433333,2.1460439365,"same","same"
"524","2019-07-25",18,1.799999952,12.3965827616667,6.9542605085,0.3846910595,1.90347979483333,12.3800314266667,12.3245274216667,6.96197628966667,6.959129731,0.384055137666667,0.383977591833333,1.88992520183333,1.96340779433333,"same","same"
"525","2019-07-26",18,1.799999952,12.4536565166667,6.94931642216667,0.385345136,1.9947985805,12.3965827616667,12.3800314266667,6.9542605085,6.96197628966667,0.3846910595,0.384055137666667,1.90347979483333,1.88992520183333,"same","same"
"526","2019-07-27",18,1.799999952,12.5061407083333,6.94388127333333,0.3859396775,2.006926656,12.4536565166667,12.3965827616667,6.94931642216667,6.9542605085,0.385345136,0.3846910595,1.9947985805,1.90347979483333,"same","same"
"527","2019-07-28",18,1.799999952,12.5535353,6.94371493666667,0.386569996666667,1.91061496716667,12.5061407083333,12.4536565166667,6.94388127333333,6.94931642216667,0.3859396775,0.385345136,2.006926656,1.9947985805,"same","same"
"528","2019-07-29",18,1.799999952,12.6059009233333,6.93341072416667,0.386350005833333,2.080765883,12.5535353,12.5061407083333,6.94371493666667,6.94388127333333,0.386569996666667,0.3859396775,1.91061496716667,2.006926656,"same","same"
"529","2019-07-30",18,1.799999952,12.68223683,6.92582829783333,0.385517661666667,2.20490097983333,12.6059009233333,12.5535353,6.93341072416667,6.94371493666667,0.386350005833333,0.386569996666667,2.080765883,1.91061496716667,"same","same"
"530","2019-07-31",18,1.799999952,12.71334219,6.91915305483333,0.385119219666667,2.1553179025,12.68223683,12.6059009233333,6.92582829783333,6.93341072416667,0.385517661666667,0.386350005833333,2.20490097983333,2.080765883,"same","same"
"531","2019-08-01",18,1.799999952,12.7260414766667,6.911999146,0.385904014166667,2.01299041483333,12.71334219,12.68223683,6.91915305483333,6.92582829783333,0.385119219666667,0.385517661666667,2.1553179025,2.20490097983333,"same","same"
"532","2019-08-02",18,1.799999952,12.8407591166667,6.8987027805,0.385850543833333,2.20454434566667,12.7260414766667,12.71334219,6.911999146,6.91915305483333,0.385904014166667,0.385119219666667,2.01299041483333,2.1553179025,"same","same"
"533","2019-08-03",18,1.799999952,12.8145054166667,6.889838934,0.385208378166667,2.01834096516667,12.8407591166667,12.7260414766667,6.8987027805,6.911999146,0.385850543833333,0.385904014166667,2.20454434566667,2.01299041483333,"same","same"
"534","2019-08-04",18,1.799999952,12.8730055483333,6.881016016,0.3846554955,2.0026450355,12.8145054166667,12.8407591166667,6.889838934,6.8987027805,0.385208378166667,0.385850543833333,2.01834096516667,2.20454434566667,"same","same"
"535","2019-08-05",18,1.799999952,12.9407811166667,6.86636710183333,0.385725647166667,2.15068113783333,12.8730055483333,12.8145054166667,6.881016016,6.889838934,0.3846554955,0.385208378166667,2.0026450355,2.01834096516667,"same","same"
"536","2019-08-06",18,1.799999952,13.0196847916667,6.85523899383333,0.385238130833333,2.10644851133333,12.9407811166667,12.8730055483333,6.86636710183333,6.881016016,0.385725647166667,0.3846554955,2.15068113783333,2.0026450355,"same","same"
"537","2019-08-07",18,1.799999952,13.0289595933333,6.84262069083333,0.385386770166667,1.96233791116667,13.0196847916667,12.9407811166667,6.85523899383333,6.86636710183333,0.385238130833333,0.385725647166667,2.10644851133333,2.15068113783333,"same","same"
"538","2019-08-08",18,1.799999952,13.0131212883333,6.83308227866667,0.384316518833333,1.78041458116667,13.0289595933333,13.0196847916667,6.84262069083333,6.85523899383333,0.385386770166667,0.385238130833333,1.96233791116667,2.10644851133333,"same","same"
"539","2019-08-09",18,1.799999952,13.0500769616667,6.817397356,0.386492659333333,1.78326865066667,13.0131212883333,13.0289595933333,6.83308227866667,6.84262069083333,0.384316518833333,0.385386770166667,1.78041458116667,1.96233791116667,"same","same"
"540","2019-08-10",18,1.799999952,13.06762727,6.80343476916667,0.3862608475,1.80930890633333,13.0500769616667,13.0131212883333,6.817397356,6.83308227866667,0.386492659333333,0.384316518833333,1.78326865066667,1.78041458116667,"same","same"
"541","2019-08-11",18,1.799999952,13.077757995,6.7970761455,0.386795948,1.76079620916667,13.06762727,13.0500769616667,6.80343476916667,6.817397356,0.3862608475,0.386492659333333,1.80930890633333,1.78326865066667,"same","same"
"542","2019-08-12",18,1.799999952,13.113714695,6.79487856216667,0.386260847333333,1.82215025016667,13.077757995,13.06762727,6.7970761455,6.80343476916667,0.386795948,0.3862608475,1.76079620916667,1.80930890633333,"same","same"
"543","2019-08-13",18,1.799999952,13.1339751866667,6.73931272833333,0.3860943515,1.85603797433333,13.113714695,13.077757995,6.79487856216667,6.7970761455,0.386260847333333,0.386795948,1.82215025016667,1.76079620916667,"same","same"
"544","2019-08-14",18,1.799999952,13.1685045566667,6.68174084016667,0.387009978166667,1.97660575316667,13.1339751866667,13.113714695,6.73931272833333,6.79487856216667,0.3860943515,0.386260847333333,1.85603797433333,1.82215025016667,"same","same"
"545","2019-08-15",18,1.799999952,13.2885022166667,6.6742749215,0.387687658,2.03974348316667,13.1685045566667,13.1339751866667,6.68174084016667,6.73931272833333,0.387009978166667,0.3860943515,1.97660575316667,1.85603797433333,"same","same"
"546","2019-08-16",18,1.799999952,13.31290118,6.67057092966667,0.3867602345,1.90990070516667,13.2885022166667,13.1685045566667,6.6742749215,6.68174084016667,0.387687658,0.387009978166667,2.03974348316667,1.97660575316667,"same","same"
"547","2019-08-17",18,1.799999952,13.3697613083333,6.66310079883333,0.387188295166667,2.03974396,13.31290118,13.2885022166667,6.67057092966667,6.6742749215,0.3867602345,0.387687658,1.90990070516667,2.03974348316667,"same","same"
"548","2019-08-18",18,1.799999952,13.3748265916667,6.653911829,0.387330998666667,2.0340362985,13.3697613083333,13.31290118,6.66310079883333,6.67057092966667,0.387188295166667,0.3867602345,2.03974396,1.90990070516667,"same","same"
"549","2019-08-19",18,1.799999952,13.4812692,6.65006232266667,0.387473702,1.9548470775,13.3748265916667,13.3697613083333,6.653911829,6.66310079883333,0.387330998666667,0.387188295166667,2.0340362985,2.03974396,"same","same"
"550","2019-08-20",18,1.799999952,13.5477603266667,6.64387416816667,0.387877886333333,1.99586800733333,13.4812692,13.3748265916667,6.65006232266667,6.653911829,0.387473702,0.387330998666667,1.9548470775,2.0340362985,"same","same"
"551","2019-08-21",18,1.799999952,13.5458342233333,6.63673694933333,0.383859013333333,2.5954996545,13.5477603266667,13.4812692,6.64387416816667,6.65006232266667,0.387877886333333,0.387473702,1.99586800733333,1.9548470775,"same","same"
"552","2019-08-22",18,1.799999952,13.5431224516667,6.63523872666667,0.381909012833333,3.059223334,13.5458342233333,13.5477603266667,6.63673694933333,6.64387416816667,0.383859013333333,0.387877886333333,2.5954996545,1.99586800733333,"same","same"
"553","2019-08-23",18,1.799999952,13.6633346883333,6.63654541983333,0.381837686,2.986453891,13.5431224516667,13.5458342233333,6.63523872666667,6.63673694933333,0.381909012833333,0.383859013333333,3.059223334,2.5954996545,"same","same"
"554","2019-08-24",18,1.799999952,13.6410762483333,6.63009095183333,0.384714966,3.0688539745,13.6633346883333,13.5431224516667,6.63654541983333,6.63523872666667,0.381837686,0.381909012833333,2.986453891,3.059223334,"same","same"
"555","2019-08-25",18,1.799999952,13.7456630066667,6.63007847483333,0.384382074166667,2.8751601775,13.6410762483333,13.6633346883333,6.63009095183333,6.63654541983333,0.384714966,0.381837686,3.0688539745,2.986453891,"same","same"
"556","2019-08-26",18,1.799999952,13.7525111833333,6.62797252333333,0.384405851333333,2.82094033533333,13.7456630066667,13.6410762483333,6.63007847483333,6.63009095183333,0.384382074166667,0.384714966,2.8751601775,3.0688539745,"same","same"
"557","2019-08-27",18,1.799999952,13.7757689183333,6.627319177,0.384494910666667,2.76779031766667,13.7525111833333,13.7456630066667,6.62797252333333,6.63007847483333,0.384405851333333,0.384382074166667,2.82094033533333,2.8751601775,"same","same"
"558","2019-08-28",18,1.799999952,13.8105842266667,6.62487212816667,0.385850543666667,2.865529577,13.7757689183333,13.7525111833333,6.627319177,6.62797252333333,0.384494910666667,0.384405851333333,2.76779031766667,2.82094033533333,"same","same"
"559","2019-08-29",18,1.799999952,13.906467915,6.62251242016667,0.385785112833333,2.9689754645,13.8105842266667,13.7757689183333,6.62487212816667,6.627319177,0.385850543666667,0.384494910666667,2.865529577,2.76779031766667,"same","same"
"560","2019-08-30",18,1.799999952,13.9215922366667,6.61819267266667,0.386421283,3.06635749333333,13.906467915,13.8105842266667,6.62251242016667,6.62487212816667,0.385785112833333,0.385850543666667,2.9689754645,2.865529577,"same","same"
"561","2019-08-31",18,1.799999952,14.0049200066667,6.618525505,0.3866174815,2.820940296,13.9215922366667,13.906467915,6.61819267266667,6.62251242016667,0.386421283,0.385785112833333,3.06635749333333,2.9689754645,"same","same"
"562","2019-09-01",18,1.799999952,14.089104015,6.61756014833333,0.386260747833333,2.70572304733333,14.0049200066667,13.9215922366667,6.618525505,6.61819267266667,0.3866174815,0.386421283,2.820940296,3.06635749333333,"same","same"
"563","2019-09-02",18,1.799999952,14.1698630666667,6.61288658783333,0.386260747666667,2.978249391,14.089104015,14.0049200066667,6.61756014833333,6.618525505,0.386260747833333,0.3866174815,2.70572304733333,2.820940296,"same","same"
"564","2019-09-03",18,1.799999952,14.1794231733333,6.60883720716667,0.387152631833333,2.873019854,14.1698630666667,14.089104015,6.61288658783333,6.61756014833333,0.386260747666667,0.386260747833333,2.978249391,2.70572304733333,"same","same"
"565","2019-09-04",18,1.799999952,14.2183758433333,6.605716149,0.386902888333333,2.8223668335,14.1794231733333,14.1698630666667,6.60883720716667,6.61288658783333,0.387152631833333,0.386260747666667,2.873019854,2.978249391,"same","same"
"566","2019-09-05",18,1.799999952,14.2994918816667,6.60121742866667,0.3904877355,2.864815235,14.2183758433333,14.1794231733333,6.605716149,6.60883720716667,0.386902888333333,0.387152631833333,2.8223668335,2.873019854,"same","same"
"567","2019-09-06",18,1.799999952,14.3032727233333,6.59882450083333,0.391183297,2.72748223933333,14.2994918816667,14.2183758433333,6.60121742866667,6.605716149,0.3904877355,0.386902888333333,2.864815235,2.8223668335,"same","same"
"568","2019-09-07",18,1.799999952,14.4861941316667,6.59172455433333,0.389506817,2.89620657766667,14.3032727233333,14.2994918816667,6.59882450083333,6.60121742866667,0.391183297,0.3904877355,2.72748223933333,2.864815235,"same","same"
"569","2019-09-08",18,1.799999952,14.9563387216667,6.579289913,0.383478502666667,3.03068661666667,14.4861941316667,14.3032727233333,6.59172455433333,6.59882450083333,0.389506817,0.391183297,2.89620657766667,2.72748223933333,"same","same"
"570","2019-09-09",18,1.799999952,14.663265705,6.56973457316667,0.358223219833333,3.31070367516667,14.9563387216667,14.4861941316667,6.579289913,6.59172455433333,0.383478502666667,0.389506817,3.03068661666667,2.89620657766667,"same","same"
"571","2019-09-10",18,1.799999952,14.7415990833333,6.56949345266667,0.331969261166667,3.30499760316667,14.663265705,14.9563387216667,6.56973457316667,6.579289913,0.358223219833333,0.383478502666667,3.31070367516667,3.03068661666667,"same","same"
"572","2019-09-11",18,1.799999952,14.7999569583333,6.567687114,0.332397321833333,3.327826182,14.7415990833333,14.663265705,6.56949345266667,6.56973457316667,0.331969261166667,0.358223219833333,3.30499760316667,3.31070367516667,"same","same"
"573","2019-09-12",18,1.799999952,14.846615155,6.56159424766667,0.332682728666667,3.54220918833333,14.7999569583333,14.7415990833333,6.567687114,6.56949345266667,0.332397321833333,0.331969261166667,3.327826182,3.30499760316667,"same","same"
"574","2019-09-13",18,1.799999952,14.92708826,6.55926402383333,0.333289206166667,3.49512346583333,14.846615155,14.7999569583333,6.56159424766667,6.567687114,0.332682728666667,0.332397321833333,3.54220918833333,3.327826182,"same","same"
"575","2019-09-14",18,1.799999952,15.0813303016667,6.5602627595,0.331826706666667,3.58929483116667,14.92708826,14.846615155,6.55926402383333,6.56159424766667,0.333289206166667,0.332682728666667,3.49512346583333,3.54220918833333,"same","same"
"576","2019-09-15",18,1.799999952,15.02254502,6.39502127966667,0.3301143645,3.6410187485,15.0813303016667,14.92708826,6.5602627595,6.55926402383333,0.331826706666667,0.333289206166667,3.58929483116667,3.49512346583333,"same","same"
"577","2019-09-16",18,1.799999952,15.160092195,6.23289688433333,0.330185691333333,3.73126669733333,15.02254502,15.0813303016667,6.39502127966667,6.5602627595,0.3301143645,0.331826706666667,3.6410187485,3.58929483116667,"same","same"
"578","2019-09-17",18,1.799999952,15.3835360216667,6.22821513816667,0.3289729355,3.92246298,15.160092195,15.02254502,6.23289688433333,6.39502127966667,0.330185691333333,0.3301143645,3.73126669733333,3.6410187485,"same","same"
"579","2019-09-18",18,1.799999952,15.5257921233333,6.23078703883333,0.3301143645,3.6164049705,15.3835360216667,15.160092195,6.22821513816667,6.23289688433333,0.3289729355,0.330185691333333,3.92246298,3.73126669733333,"same","same"
