Segment Name,Percentage of Matched Trips,Count of Matched Trips,Segment Geometry ID
Meridian Avenue,9.6,"5,600",e10fa6d94a531fd7c102239d18a3a547
,9.5,"5,600",026904cfa363114a64bb47aec6dbfcba
Meridian Avenue,9.3,"5,500",9ff39d83147d393233cef73f6ad308b6
West Plum Street,9.0,"5,200",c7c09425c945f78f4a27fc46fae4980b
West Plum Street,8.6,"5,000",67444c6fe912357970f1cf2a23368db0
West Plum Street,8.4,"4,900",a67e92b6fb39ae5201f7971d8096e962
University Avenue,8.3,"4,900",10a061501c02d2cc4f97662ee202757d
University Avenue,8.2,"4,800",fcc7b4a21875cee1254c420797e75de1
West Pitkin Street,8.0,"4,700",910f22081d6b511ada46cc4505105653
West Pitkin Street,8.0,"4,700",a78dd371b0ed7678cef8cbb7555c86c2
West Plum Street,7.9,"4,600",aebe1594fa0f4f7b5046e1fdbed79a53
University Avenue,7.7,"4,500",a76a4372e18e768785507d5efd7dcffb
Meridian Avenue,7.6,"4,400",b00b6fce43fc92510d96c9aa9c823b29
Meridian Avenue,7.5,"4,400",df6ad33cc9ffb8b21f3b0f7afcefab2a
West Plum Street,7.2,"4,200",b77533549e370fa64916a9c3e65d9897
West Plum Street,7.0,"4,100",cd5e6f7ed6de6b96f6b1b3a6ede5ff4b
,6.9,"4,000",80b0dd76046e6a18c84baca0d1bfc650
West Plum Street,6.8,"3,900",3afa2d8cc95b97c86f6770494fdd1381
,6.8,"4,000",4e08b11aaf78a8ea46bb3367ecbb9a28
,6.8,"4,000",77bf015262fc6ca25b3cd0c88e6ec0b8
,6.8,"4,000",af79f1e206b14cc662da2fa310547fd0
,6.8,"4,000",b5b5c76d342a508a199d4f331f6d1a65
Meridian Avenue,6.8,"4,000",c72623bc1b216029e40c1cad5f545d29
Meridian Avenue,6.6,"3,800",43f3c4c6594b12d454697837fc7f630e
West Plum Street,6.6,"3,800",559cfb49972a1698afd7f7f59433d03f
,6.5,"3,800",9b4347ca2551dcd63f8a0d2dfa50e375
West Plum Street,6.3,"3,700",5f7d35021196208feb5573258dfd3251
West Plum Street,6.3,"3,700",b789ddea36f552bb4ad0c200dbcecfce
,6.2,"3,600",f55bfecbe37249626ac5a23257e98ad6
University Avenue,6.1,"3,600",290ac919f9c532b6c6ec253adc37e968
West Pitkin Street,5.9,"3,500",33d4290092dda9ae5dd31b5e618ed33a
West Pitkin Street,5.8,"3,400",308ee7da9d07232a4095daec887bc586
Meridian Avenue,5.8,"3,400",cb62e982d1e7e09103b35ab3201c8283
West Pitkin Street,5.8,"3,400",eb2f5779b612b78f35331bb100fbe2a1
West Lake Street,5.7,"3,300",4ce707d09cf6d384232c26ad6770daa0
