Segment Name,Percentage of Matched Trips,Count of Matched Trips,Segment Geometry ID
West Pitkin Street,8.9,"1,900",910f22081d6b511ada46cc4505105653
West Pitkin Street,8.8,"1,800",a78dd371b0ed7678cef8cbb7555c86c2
Meridian Avenue,8.1,"1,700",e10fa6d94a531fd7c102239d18a3a547
Meridian Avenue,8.0,"1,700",9ff39d83147d393233cef73f6ad308b6
,7.8,"1,600",026904cfa363114a64bb47aec6dbfcba
Meridian Avenue,6.9,"1,400",df6ad33cc9ffb8b21f3b0f7afcefab2a
West Pitkin Street,6.7,"1,400",308ee7da9d07232a4095daec887bc586
West Pitkin Street,6.7,"1,400",33d4290092dda9ae5dd31b5e618ed33a
Meridian Avenue,6.6,"1,400",b00b6fce43fc92510d96c9aa9c823b29
West Plum Street,6.5,"1,400",67444c6fe912357970f1cf2a23368db0
West Plum Street,6.3,"1,300",c7c09425c945f78f4a27fc46fae4980b
West Pitkin Street,6.2,"1,300",eb2f5779b612b78f35331bb100fbe2a1
University Avenue,6.0,"1,200",a76a4372e18e768785507d5efd7dcffb
West Pitkin Street,6.0,"1,300",be3e9a23f475fc38ab4363484cae2681
,5.7,"1,200",4b72fb400337232290a97c5fe9a48f9b
West Plum Street,5.7,"1,200",a67e92b6fb39ae5201f7971d8096e962
University Avenue,5.6,"1,200",10a061501c02d2cc4f97662ee202757d
University Avenue,5.6,"1,200",fcc7b4a21875cee1254c420797e75de1
Meridian Avenue,5.3,"1,100",cb62e982d1e7e09103b35ab3201c8283
West Plum Street,5.3,"1,100",aebe1594fa0f4f7b5046e1fdbed79a53
University Avenue,5.2,"1,100",290ac919f9c532b6c6ec253adc37e968
West Pitkin Street,5.2,"1,100",8ca69397b8d0b5d0456ffefdf682137f
West Lake Street,5.2,"1,100",4ce707d09cf6d384232c26ad6770daa0
West Lake Street,5.1,"1,100",7d9256161efdde749618538c3a0474f0
,5.1,"1,100",80b0dd76046e6a18c84baca0d1bfc650
West Pitkin Street,5.1,"1,100",b9df83364c89f3d418cb98d40ee181f6
Mason Trail,5.1,"1,100",bf7a80c10e86b13aa2f8b1bcb621b8ee
Meridian Avenue,5.1,"1,100",c72623bc1b216029e40c1cad5f545d29
Mason Trail,5.1,"1,100",d531c37afec54ec3424d4199cbf89983
,5.0,"1,000",261c2b1084fad79eb96e21189b560b90
Meridian Avenue,4.9,"1,000",43f3c4c6594b12d454697837fc7f630e
Meridian Avenue,4.9,"1,000",46d2b2392b6df57538d8b91686cc251d
,4.9,"1,000",4e08b11aaf78a8ea46bb3367ecbb9a28
,4.8,"1,000",77bf015262fc6ca25b3cd0c88e6ec0b8
,4.8,"1,000",af79f1e206b14cc662da2fa310547fd0
,4.8,"1,000",b5b5c76d342a508a199d4f331f6d1a65
Meridian Avenue,4.8,"1,000",be4486fb8043b2a4e3aa5bb5a5e7292a
Meridian Avenue,4.8,"1,000",f59d0cd82705be96da15359b74ed4cd2
,4.7,"1,000",9b4347ca2551dcd63f8a0d2dfa50e375
West Pitkin Street,4.6,"1,000",3a2dcc4d870bc4ef62b5df2d7464920d
Meridian Avenue,4.6,"1,000",b2f5fd44834cf8f2687cb7192a9115f1
West Pitkin Street,4.6,"1,000",f052723af6d7b791b38a9cc6f33aa693
West Lake Street,4.6,"1,000",26ee5660d4134f67310132c41d636dfa
Meridian Avenue,4.5,"900",646bdfab3be7af2dc000a899cb0bf4ab
,4.5,"900",9ef9fa97d501e6385197f79bd681a476
,4.5,"900",f5f1cf4270463a75660a000557a27b12
West Pitkin Street,4.5,"900",ab4418611da5610fd24603190df37652
West Plum Street,4.4,"900",b77533549e370fa64916a9c3e65d9897
,4.3,"900",16ffd24fd13868cbd9221910f9ffde8a
,4.3,"900",8820e55336d966f4679e6ce358990bba
,4.3,"900",b038de609d198ca2101c0e31342380c5
West Plum Street,4.3,"900",cd5e6f7ed6de6b96f6b1b3a6ede5ff4b
,4.3,"900",f46c977256868acf5bae684c647cd9aa
,4.3,"900",6f020ceb05e3c3437685103e4d251286
,4.3,"900",fbe237734b06be2aba9816bed73bf3a0
West Pitkin Street,4.3,"900",02440c1996b2cb808befe66488bf0d8a
West Pitkin Street,4.3,"900",9335d7b781018fc1173b5c1c7bfc95b5
,4.3,"900",d7a987bba26f4c5638698720b357044b
West Lake Street,4.2,"900",d8741ad07da1fe49bf7650e052d5653e
West Pitkin Street,4.2,"900",ff7229fe65ec074856dc007791ed03f0
,4.2,"900",b65ae222ec8ac1d6bef19cfcaa0bb4aa
West Plum Street,4.1,"800",bcea1baf9c9b55584f61287f9e117cef
West Laurel Street,4.1,"900",a519281094cd6006816d32e4eda3ab3f
West Plum Street,4.1,"900",3afa2d8cc95b97c86f6770494fdd1381
,4.1,"900",f55bfecbe37249626ac5a23257e98ad6
West Pitkin Street,4.1,"900",1a9ad0e6653f5ee25346d70c1e4a96e1
,4.1,"900",71bcda29d1289d1c6612a14ef7196301
,4.1,"900",a4a77854a8d57ff4048763994c0e51d4
West Laurel Street,4.0,"800",940c98778f681d11292d01e2ae8cd88a
,4.0,"800",9d16ee6a636595bf47cfd9379523f36a
West Laurel Street,4.0,"800",ab372f1a58c8f25c6a08d5f06cd03eb1
,4.0,"800",f2c28299d611d844a6019ad9e36690d5
Mason Trail,4.0,"800",f6b338a5e859cbb5131a1762bdb8d93a
West Plum Street,4.0,"800",559cfb49972a1698afd7f7f59433d03f
West Plum Street,4.0,"800",f73fda6a1c4284d61a066c095715f184
West Lake Street,4.0,"800",1fdb794a98f3bcfedb4ddc80691753c6
