Segment Name,Percentage of Matched Trips,Count of Matched Trips,Segment Geometry ID
,8.3,"1,200",026904cfa363114a64bb47aec6dbfcba
West Pitkin Street,8.2,"1,100",a78dd371b0ed7678cef8cbb7555c86c2
West Pitkin Street,8.1,"1,100",910f22081d6b511ada46cc4505105653
Meridian Avenue,7.9,"1,100",e10fa6d94a531fd7c102239d18a3a547
Meridian Avenue,7.8,"1,100",9ff39d83147d393233cef73f6ad308b6
Meridian Avenue,6.8,"1,000",df6ad33cc9ffb8b21f3b0f7afcefab2a
West Pitkin Street,6.7,"900",308ee7da9d07232a4095daec887bc586
West Pitkin Street,6.5,"900",33d4290092dda9ae5dd31b5e618ed33a
Meridian Avenue,6.4,"900",b00b6fce43fc92510d96c9aa9c823b29
West Pitkin Street,6.2,"900",be3e9a23f475fc38ab4363484cae2681
University Avenue,6.1,"800",10a061501c02d2cc4f97662ee202757d
West Pitkin Street,6.1,"900",b9df83364c89f3d418cb98d40ee181f6
University Avenue,6.0,"800",a76a4372e18e768785507d5efd7dcffb
West Plum Street,6.0,"800",c7c09425c945f78f4a27fc46fae4980b
,5.9,"800",af79f1e206b14cc662da2fa310547fd0
,5.9,"800",b5b5c76d342a508a199d4f331f6d1a65
University Avenue,5.9,"800",fcc7b4a21875cee1254c420797e75de1
,5.8,"800",80b0dd76046e6a18c84baca0d1bfc650
West Plum Street,5.8,"800",a67e92b6fb39ae5201f7971d8096e962
,5.7,"800",77bf015262fc6ca25b3cd0c88e6ec0b8
West Pitkin Street,5.7,"800",f052723af6d7b791b38a9cc6f33aa693
,5.6,"800",4e08b11aaf78a8ea46bb3367ecbb9a28
,5.6,"800",9b4347ca2551dcd63f8a0d2dfa50e375
West Pitkin Street,5.5,"800",3a2dcc4d870bc4ef62b5df2d7464920d
Meridian Avenue,5.3,"700",cb62e982d1e7e09103b35ab3201c8283
West Plum Street,5.2,"700",67444c6fe912357970f1cf2a23368db0
West Lake Street,5.1,"700",4ce707d09cf6d384232c26ad6770daa0
West Pitkin Street,5.0,"700",eb2f5779b612b78f35331bb100fbe2a1
West Pitkin Street,5.0,"700",ff7229fe65ec074856dc007791ed03f0
West Lake Street,4.9,"700",7d9256161efdde749618538c3a0474f0
Meridian Avenue,4.9,"700",c72623bc1b216029e40c1cad5f545d29
West Lake Street,4.9,"700",d8741ad07da1fe49bf7650e052d5653e
West Lake Street,4.8,"700",26ee5660d4134f67310132c41d636dfa
,4.8,"700",568b907d2766b66af1c40b928b23b506
,4.8,"700",bcd2f22d8d58b7d4abef91c0d8fb4341
,4.7,"700",04715c5751b384dc384e876e6adab2f3
,4.7,"700",2aa27383f4bf9419c2d8c76912c1ee61
Meridian Avenue,4.7,"700",43f3c4c6594b12d454697837fc7f630e
,4.6,"600",cd4f82be4d904c35ac61a8f43b2a89aa
,4.6,"600",f2c28299d611d844a6019ad9e36690d5
Meridian Avenue,4.6,"600",f59d0cd82705be96da15359b74ed4cd2
,4.6,"700",aa51b745876349beade57c9358c40f4d
West Plum Street,4.5,"600",3afa2d8cc95b97c86f6770494fdd1381
,4.5,"600",5fabab8a1a0af43df35a3283bda66ec8
West Plum Street,4.5,"600",aebe1594fa0f4f7b5046e1fdbed79a53
West Plum Street,4.5,"600",b77533549e370fa64916a9c3e65d9897
,4.5,"600",37e4ab301f7863b2623ffe8c22942b84
Mason Trail,4.5,"600",bf7a80c10e86b13aa2f8b1bcb621b8ee
Mason Trail,4.5,"600",d531c37afec54ec3424d4199cbf89983
Meridian Avenue,4.5,"600",646bdfab3be7af2dc000a899cb0bf4ab
,4.5,"600",f55bfecbe37249626ac5a23257e98ad6
Meridian Avenue,4.4,"600",46d2b2392b6df57538d8b91686cc251d
West Plum Street,4.4,"600",cd5e6f7ed6de6b96f6b1b3a6ede5ff4b
West Pitkin Street,4.4,"600",1ffd0b1fb92002cfe3588b72c4539d18
Mason Trail,4.4,"600",271d375dc61b504bc6acb35576a139b6
Mason Trail,4.4,"600",310c227c6fbc2d78062da39e3c4d65eb
Mason Trail,4.4,"600",7b1888792a8440913b6a2593e840484e
Mason Trail,4.4,"600",caa89de22283bfcb174c9a7d6e3c5efc
