Segment Name,Percentage of Matched Trips,Count of Matched Trips,Segment Geometry ID
,5.4,"3,000",026904cfa363114a64bb47aec6dbfcba
Meridian Avenue,5.1,"2,800",e10fa6d94a531fd7c102239d18a3a547
Meridian Avenue,5.0,"2,800",9ff39d83147d393233cef73f6ad308b6
West Plum Street,4.9,"2,700",c7c09425c945f78f4a27fc46fae4980b
University Avenue,4.9,"2,700",fcc7b4a21875cee1254c420797e75de1
University Avenue,4.8,"2,700",10a061501c02d2cc4f97662ee202757d
West Laurel Street,4.6,"2,500",1d72a26e02abe1eb7377937239c6d962
West Laurel Street,4.6,"2,500",2234d0b5ebe3138c4380718a577aa575
West Laurel Street,4.6,"2,500",b242c71daf8356ea9a92f6a6fc651035
University Avenue,4.6,"2,600",a76a4372e18e768785507d5efd7dcffb
West Laurel Street,4.5,"2,500",54160edda6fa646a7d8b9b9ae9c9aa8c
West Laurel Street,4.5,"2,500",79fea9936207f586570941e1d0dd6348
West Laurel Street,4.5,"2,500",940c98778f681d11292d01e2ae8cd88a
West Laurel Street,4.5,"2,500",ab372f1a58c8f25c6a08d5f06cd03eb1
West Laurel Street,4.5,"2,500",bf0fb4aade3d33884481040b8702c4d8
West Laurel Street,4.5,"2,500",eaec2b45a109a9a4f82708ff19432818
West Laurel Street,4.5,"2,500",f7d82ad3ef0672889b8b75c7c2f2b912
West Laurel Street,4.4,"2,400",a519281094cd6006816d32e4eda3ab3f
West Plum Street,4.4,"2,400",a67e92b6fb39ae5201f7971d8096e962
Meridian Avenue,4.4,"2,400",c72623bc1b216029e40c1cad5f545d29
West Laurel Street,4.4,"2,500",caec683b59cfc54060d01cc7a9ad6a98
West Laurel Street,4.4,"2,500",cf85eb3105bc3fb8835032870cd8a06c
,4.3,"2,400",80b0dd76046e6a18c84baca0d1bfc650
Meridian Avenue,4.2,"2,300",43f3c4c6594b12d454697837fc7f630e
,4.2,"2,300",4e08b11aaf78a8ea46bb3367ecbb9a28
West Elizabeth Street,4.2,"2,300",510c5bb39695e31f5a2e0ff541c0928f
West Laurel Street,4.2,"2,300",654ceb664ef28dd7d5908ce3ad6bce89
,4.2,"2,300",af79f1e206b14cc662da2fa310547fd0
Meridian Avenue,4.2,"2,300",b00b6fce43fc92510d96c9aa9c823b29
,4.2,"2,300",b5b5c76d342a508a199d4f331f6d1a65
West Pitkin Street,4.2,"2,400",910f22081d6b511ada46cc4505105653
West Plum Street,4.1,"2,300",67444c6fe912357970f1cf2a23368db0
,4.1,"2,300",77bf015262fc6ca25b3cd0c88e6ec0b8
West Pitkin Street,4.1,"2,300",a78dd371b0ed7678cef8cbb7555c86c2
Meridian Avenue,4.1,"2,300",df6ad33cc9ffb8b21f3b0f7afcefab2a
,4.1,"2,300",f2c28299d611d844a6019ad9e36690d5
,4.0,"2,200",04715c5751b384dc384e876e6adab2f3
,4.0,"2,200",2aa27383f4bf9419c2d8c76912c1ee61
,4.0,"2,200",aa51b745876349beade57c9358c40f4d
West Plum Street,4.0,"2,200",aebe1594fa0f4f7b5046e1fdbed79a53
Remington Street,3.9,"2,200",0160758e130f0c439b737f64b67bc873
University Avenue,3.9,"2,200",290ac919f9c532b6c6ec253adc37e968
,3.9,"2,200",37e4ab301f7863b2623ffe8c22942b84
West Plum Street,3.9,"2,200",3afa2d8cc95b97c86f6770494fdd1381
,3.9,"2,200",568b907d2766b66af1c40b928b23b506
Remington Street,3.9,"2,200",94d760201ee1169ac2a9722020900ead
West Plum Street,3.9,"2,200",b77533549e370fa64916a9c3e65d9897
West Laurel Street,3.8,"2,100",2cd2a3ae682d8c4a2c68ffb796035591
,3.8,"2,100",5fabab8a1a0af43df35a3283bda66ec8
,3.8,"2,100",9b4347ca2551dcd63f8a0d2dfa50e375
West Plum Street,3.8,"2,100",cd5e6f7ed6de6b96f6b1b3a6ede5ff4b
,3.8,"2,100",f55bfecbe37249626ac5a23257e98ad6
West Elizabeth Street,3.7,"2,000",20280269f36037f435983c770d585104
,3.7,"2,000",cd4f82be4d904c35ac61a8f43b2a89aa
Remington Street,3.7,"2,000",df9ec94541af920d615274920fa225ea
Remington Street,3.7,"2,100",260c1613720310088fa92a1bdccdad72
West Laurel Street,3.7,"2,100",30d7bead71cb2671ca44cebbfafb3c04
West Plum Street,3.7,"2,100",5f7d35021196208feb5573258dfd3251
West Plum Street,3.7,"2,100",b789ddea36f552bb4ad0c200dbcecfce
,3.7,"2,100",bcd2f22d8d58b7d4abef91c0d8fb4341
West Pitkin Street,3.7,"2,100",eb2f5779b612b78f35331bb100fbe2a1
Remington Street,3.6,"2,000",4444469defbc9a0e40769eebf7353061
West Plum Street,3.6,"2,000",559cfb49972a1698afd7f7f59433d03f
West Laurel Street,3.6,"2,000",9a9806315bd382c593bde3b6f06e7d48
Remington Street,3.6,"2,000",c8c4a6b736bacb0f32a860221ffefa21
West Laurel Street,3.6,"2,000",d7a1f6f3544e56966992d733a8f6478e
West Laurel Street,3.6,"2,000",e0f831b1220f770cb436dc8322576867
Remington Street,3.5,"1,900",49222bffe37fb5de847dffc96f950a51
Remington Street,3.5,"1,900",6b1c26aba38d4b9b83a9cd6f0c790539
West Laurel Street,3.5,"1,900",a4988f4475144e1b361dfe782798f738
Remington Street,3.5,"2,000",09eb875e0718d121307a15358274307f
West Laurel Street,3.5,"2,000",48575baca75eed55dd70f9fda785930b
Remington Street,3.5,"2,000",5f93adb93b2872d3c7705892c97dca8e
Remington Street,3.5,"2,000",6b2fdaa74181fa4a5ed170044e712cef
Remington Street,3.5,"2,000",70f08894da128825fc0a254af3caf3ad
West Laurel Street,3.4,"1,900",69d961d6ca3fee85e1426d68cb8196bb
,3.4,"1,900",70b96c6e3f279ed0cb04147d478748e5
Remington Street,3.4,"1,900",7fe913e1a688a3ffb0b503b33eccbe38
West Laurel Street,3.4,"1,900",811af901d483afc027f8867d581c44e4
Remington Street,3.4,"1,900",d93874cd0cd2e62f1f17d84343be0cd2
West Laurel Street,3.4,"1,900",da9702402c3dae978522c2a9ce2be16a
West Elizabeth Street,3.4,"1,900",e321b16c538ed140d15e48e247084d0b
Remington Street,3.4,"1,900",f7f85abfb7ce8ac7bb84036d1d9aaacd
West Lake Street,3.3,"1,800",26ee5660d4134f67310132c41d636dfa
West Plum Street,3.3,"1,800",43045b0ed5f518ad3f6bb07e00803c22
Meridian Avenue,3.3,"1,800",46d2b2392b6df57538d8b91686cc251d
West Elizabeth Street,3.3,"1,800",7d5897ac85834745d9c9485355a08993
West Lake Street,3.3,"1,800",7d9256161efdde749618538c3a0474f0
Remington Street,3.3,"1,800",a0e335cd739392be2cf3629316865f43
West Laurel Street,3.3,"1,800",aa7da582fc13ebdb671afbeb747da77d
Remington Street,3.3,"1,800",b685fb0655ffdb5023bd0c43d811306c
West Laurel Street,3.3,"1,800",e7f568b436af22c3c358ef5fcd94cf9f
West Laurel Street,3.3,"1,900",15727d5ff9076c0f3cfe66b276f2d6b6
,3.3,"1,900",16ffd24fd13868cbd9221910f9ffde8a
West Elizabeth Street,3.3,"1,900",3f7547d07e1f7d84aab921cdd6ebcbe8
West Lake Street,3.3,"1,900",4ce707d09cf6d384232c26ad6770daa0
,3.3,"1,900",8820e55336d966f4679e6ce358990bba
West Elizabeth Street,3.3,"1,900",903241a825a4543b27ac704a54392e4a
West Elizabeth Street,3.3,"1,900",b356696ff19401e572772cda95be9f70
Meridian Avenue,3.3,"1,900",cb62e982d1e7e09103b35ab3201c8283
,3.2,"1,800",1dc2daa97b411aaa7ed53083c82d1a6f
South Shields Street,3.2,"1,800",2aef729020da67c6e85e349d3395531d
West Pitkin Street,3.2,"1,800",33d4290092dda9ae5dd31b5e618ed33a
Remington Street,3.2,"1,800",346b337be35e1cc8e04bbcdf74530115
West Elizabeth Street,3.2,"1,800",47448e7976d94df958575eebfb08a419
Remington Street,3.2,"1,800",4cedafd312db9109873fcb6a3286427b
West Elizabeth Street,3.2,"1,800",4eaf87d29f98165c6365626b7a400768
West Elizabeth Street,3.2,"1,800",5790b002e037ccef90c1b35eb6d02dd6
South Shields Street,3.2,"1,800",67c84a0d4c7b9610ae97a14cf737c9b0
Remington Street,3.2,"1,800",7dfa79135bc3b8eb39e7fae567012598
,3.2,"1,800",9ef9fa97d501e6385197f79bd681a476
Mason Trail,3.2,"1,800",bf7a80c10e86b13aa2f8b1bcb621b8ee
Mason Trail,3.2,"1,800",d531c37afec54ec3424d4199cbf89983
West Plum Street,3.2,"1,800",e473b184da7c5c04dbfb30f741fe22de
West Elizabeth Street,3.2,"1,800",e76f3dc150edccc1c3775129918a1131
West Elizabeth Street,3.2,"1,800",f8319c61f5e9df7f6247f9593425dfc6
Remington Street,3.1,"1,700",08cd0c657430398e46208195a6ffb3a6
West Lake Street,3.1,"1,700",1a7066e218534e439dbaa88ef0b6ef94
West Pitkin Street,3.1,"1,700",308ee7da9d07232a4095daec887bc586
,3.1,"1,700",6918edd5145165a295e2dac7cc08d8e1
West Plum Street,3.1,"1,700",8f641a6175d86ddd35d215777fa97136
West Elizabeth Street,3.1,"1,700",9d2a72605d7af4603d34587df19d74fd
West Plum Street,3.1,"1,700",bcea1baf9c9b55584f61287f9e117cef
,3.1,"1,700",c571abe520132dccea76928a0159b920
West Lake Street,3.1,"1,700",d8741ad07da1fe49bf7650e052d5653e
Remington Street,3.1,"1,700",f443e442b056565baf00ec61d929881c
Remington Street,3.1,"1,800",1e2db0d4a98428a6a32412147e92c5bf
,3.0,"1,700",10508a65132a5d75c4befcaca243a11d
West Elizabeth Street,3.0,"1,700",d94695aae58ad4592c678cfa492e4f20
West Lake Street,2.9,"1,600",0f9f93c065ba5ed02b85579893803a38
West Laurel Street,2.9,"1,600",36c9777039065013562fe0222dbb4e8b
West Plum Street,2.9,"1,600",4e487c42b4e8ebd19c6807e5f95df8e9
Remington Street,2.9,"1,600",4fdb5696e8b7c83664f08e0d45e5142b
West Plum Street,2.9,"1,600",9c5d0ef0039e03c72213c960f34185f6
Remington Street,2.9,"1,600",bafcb85525e5192e22cf6a787bd353c0
,2.9,"1,600",bb8f374d5e0ec15970015dbce4a95c33
West Pitkin Street,2.9,"1,600",be3e9a23f475fc38ab4363484cae2681
,2.9,"1,600",ccf645d21e3ca6dd4684dbf573865f9e
,2.8,"1,500",95c7d8a3b54373bdd1cebacb7384d495
Meridian Avenue,2.8,"1,500",b2f5fd44834cf8f2687cb7192a9115f1
West Lake Street,2.8,"1,500",b619af4525a87a1e8f4a5b62c61cc7cc
West Plum Street,2.8,"1,500",d4b368a7c679c9e0dd3e4935bd425c71
Remington Street,2.8,"1,600",102539f861cceb6f986fcfb3e4d4ce30
West Lake Street,2.8,"1,600",1fdb794a98f3bcfedb4ddc80691753c6
West Lake Street,2.8,"1,600",2a7567a49497c531d33c733305056793
South Shields Street,2.8,"1,600",5c5ad1d122cd7c68f85b1d5d0d7f6bd3
West Plum Street,2.8,"1,600",9cbfdd1f1c23190571213d2a4731f06a
West Laurel Street,2.8,"1,600",a44ba7697a2c790fc67b75f0222b609f
West Laurel Street,2.8,"1,600",af9c036be01ded9bab9251f31839f0ea
West Elizabeth Street,2.8,"1,600",b18e1166d95d9f8716de82a9d8e0428c
West Pitkin Street,2.8,"1,600",b9df83364c89f3d418cb98d40ee181f6
Remington Street,2.8,"1,600",c15a4addfd72cd4a0b4063fd5b67a6ae
West Lake Street,2.8,"1,600",d201c1d9ac91a317180794ee899b220e
Mason Trail,2.8,"1,600",f6b338a5e859cbb5131a1762bdb8d93a
West Lake Street,2.7,"1,500",0294a29d3c06ef970ccc48d799309b57
Mason Trail,2.7,"1,500",0a0df7b299b394171c5e9d6d94ca7bf5
,2.7,"1,500",181bc598d39c54378531bd775a50f7c1
West Elizabeth Street,2.7,"1,500",1d3ac91fb0a1b253432e34e6987888fa
West Plum Street,2.7,"1,500",3406b0011afde4879f12e17973cfa697
City Park Avenue,2.7,"1,500",36f9f5a628dde9dcd992a1c2a2972e32
,2.7,"1,500",45b0d592c5f9305ff57e8fd3e6a27f3f
West Lake Street,2.7,"1,500",540396e43de0d665ac93690f146ed4d1
Mason Trail,2.7,"1,500",686292aba43a54a55e371e1b987f908e
West Elizabeth Street,2.7,"1,500",823a46ed86acbb61671b5d4617b90362
University Avenue,2.7,"1,500",8a40b86e51e618ca30e78f58c9192ee7
West Pitkin Street,2.7,"1,500",8ca69397b8d0b5d0456ffefdf682137f
Mason Trail,2.7,"1,500",a1e810ffa5798054eb39fe8fcf6ed3d0
Remington Street,2.7,"1,500",fe8cc8c1708a7e2190a079b0ee91a527
South Shields Street,2.6,"1,400",18333f7208043cd749158edaf1c7bf67
West Pitkin Street,2.6,"1,400",3a2dcc4d870bc4ef62b5df2d7464920d
West Plum Street,2.6,"1,400",542a4eaac2cd33ac1266cb568fdf7770
Meridian Avenue,2.6,"1,400",be4486fb8043b2a4e3aa5bb5a5e7292a
,2.6,"1,400",f64464c1f8992c3893eff3ffcc18aa3d
West Plum Street,2.6,"1,400",f73fda6a1c4284d61a066c095715f184
West Laurel Street,2.6,"1,500",4f26340dd935184d62287191a34b9560
Mason Trail,2.6,"1,500",56ae2c1f0e0fa6cc8ed6df62389f0f21
Walnut Street,2.6,"1,500",64207ed7a6780cd57d8fd5614250e140
West Laurel Street,2.6,"1,500",77277313665561755d37247b0083aa2b
