Segment Name,Percentage of Matched Trips,Count of Matched Trips,Segment Geometry ID
,8.0,"2,400",026904cfa363114a64bb47aec6dbfcba
West Pitkin Street,7.2,"2,200",a78dd371b0ed7678cef8cbb7555c86c2
West Pitkin Street,7.1,"2,200",910f22081d6b511ada46cc4505105653
Meridian Avenue,6.9,"2,100",e10fa6d94a531fd7c102239d18a3a547
Meridian Avenue,6.7,"2,000",9ff39d83147d393233cef73f6ad308b6
West Pitkin Street,6.2,"1,900",308ee7da9d07232a4095daec887bc586
West Plum Street,6.0,"1,800",c7c09425c945f78f4a27fc46fae4980b
West Pitkin Street,5.8,"1,800",33d4290092dda9ae5dd31b5e618ed33a
West Plum Street,5.8,"1,800",67444c6fe912357970f1cf2a23368db0
Meridian Avenue,5.7,"1,700",df6ad33cc9ffb8b21f3b0f7afcefab2a
University Avenue,5.6,"1,700",10a061501c02d2cc4f97662ee202757d
University Avenue,5.6,"1,700",a76a4372e18e768785507d5efd7dcffb
Meridian Avenue,5.5,"1,700",b00b6fce43fc92510d96c9aa9c823b29
West Pitkin Street,5.5,"1,700",be3e9a23f475fc38ab4363484cae2681
University Avenue,5.5,"1,700",fcc7b4a21875cee1254c420797e75de1
,5.4,"1,600",80b0dd76046e6a18c84baca0d1bfc650
,5.3,"1,600",77bf015262fc6ca25b3cd0c88e6ec0b8
,5.3,"1,600",af79f1e206b14cc662da2fa310547fd0
,5.3,"1,600",b5b5c76d342a508a199d4f331f6d1a65
West Pitkin Street,5.3,"1,600",eb2f5779b612b78f35331bb100fbe2a1
,5.3,"1,600",f2c28299d611d844a6019ad9e36690d5
,5.2,"1,600",4e08b11aaf78a8ea46bb3367ecbb9a28
West Plum Street,5.2,"1,600",a67e92b6fb39ae5201f7971d8096e962
West Plum Street,5.2,"1,600",aebe1594fa0f4f7b5046e1fdbed79a53
,5.1,"1,500",04715c5751b384dc384e876e6adab2f3
,5.1,"1,500",2aa27383f4bf9419c2d8c76912c1ee61
,5.1,"1,600",37e4ab301f7863b2623ffe8c22942b84
,5.0,"1,500",16ffd24fd13868cbd9221910f9ffde8a
,5.0,"1,500",8820e55336d966f4679e6ce358990bba
West Laurel Street,5.0,"1,500",940c98778f681d11292d01e2ae8cd88a
West Laurel Street,5.0,"1,500",a519281094cd6006816d32e4eda3ab3f
,5.0,"1,500",aa51b745876349beade57c9358c40f4d
West Laurel Street,5.0,"1,500",ab372f1a58c8f25c6a08d5f06cd03eb1
West Laurel Street,5.0,"1,500",bf0fb4aade3d33884481040b8702c4d8
West Laurel Street,5.0,"1,500",f7d82ad3ef0672889b8b75c7c2f2b912
West Laurel Street,4.9,"1,500",2234d0b5ebe3138c4380718a577aa575
,4.9,"1,500",9b4347ca2551dcd63f8a0d2dfa50e375
,4.9,"1,500",9ef9fa97d501e6385197f79bd681a476
West Laurel Street,4.9,"1,500",b242c71daf8356ea9a92f6a6fc651035
Meridian Avenue,4.9,"1,500",c72623bc1b216029e40c1cad5f545d29
West Laurel Street,4.9,"1,500",caec683b59cfc54060d01cc7a9ad6a98
West Laurel Street,4.9,"1,500",cf85eb3105bc3fb8835032870cd8a06c
University Avenue,4.8,"1,400",290ac919f9c532b6c6ec253adc37e968
West Laurel Street,4.8,"1,400",54160edda6fa646a7d8b9b9ae9c9aa8c
West Laurel Street,4.8,"1,500",1d72a26e02abe1eb7377937239c6d962
West Lake Street,4.8,"1,500",4ce707d09cf6d384232c26ad6770daa0
West Laurel Street,4.8,"1,500",79fea9936207f586570941e1d0dd6348
West Pitkin Street,4.8,"1,500",b9df83364c89f3d418cb98d40ee181f6
,4.8,"1,500",bcd2f22d8d58b7d4abef91c0d8fb4341
West Laurel Street,4.8,"1,500",eaec2b45a109a9a4f82708ff19432818
West Pitkin Street,4.7,"1,400",3a2dcc4d870bc4ef62b5df2d7464920d
Meridian Avenue,4.7,"1,400",43f3c4c6594b12d454697837fc7f630e
,4.7,"1,400",568b907d2766b66af1c40b928b23b506
West Lake Street,4.7,"1,400",7d9256161efdde749618538c3a0474f0
South Shields Street,4.6,"1,400",2aef729020da67c6e85e349d3395531d
,4.6,"1,400",5fabab8a1a0af43df35a3283bda66ec8
Meridian Avenue,4.6,"1,400",cb62e982d1e7e09103b35ab3201c8283
,4.6,"1,400",cd4f82be4d904c35ac61a8f43b2a89aa
West Plum Street,4.5,"1,400",3afa2d8cc95b97c86f6770494fdd1381
,4.5,"1,400",70b96c6e3f279ed0cb04147d478748e5
West Lake Street,4.4,"1,300",26ee5660d4134f67310132c41d636dfa
South Shields Street,4.4,"1,300",67c84a0d4c7b9610ae97a14cf737c9b0
West Plum Street,4.4,"1,300",b77533549e370fa64916a9c3e65d9897
West Elizabeth Street,4.4,"1,400",510c5bb39695e31f5a2e0ff541c0928f
,4.3,"1,300",261c2b1084fad79eb96e21189b560b90
West Plum Street,4.3,"1,300",559cfb49972a1698afd7f7f59433d03f
West Laurel Street,4.3,"1,300",654ceb664ef28dd7d5908ce3ad6bce89
West Pitkin Street,4.3,"1,300",f052723af6d7b791b38a9cc6f33aa693
West Pitkin Street,4.2,"1,300",8ca69397b8d0b5d0456ffefdf682137f
,4.2,"1,300",95c7d8a3b54373bdd1cebacb7384d495
West Plum Street,4.2,"1,300",cd5e6f7ed6de6b96f6b1b3a6ede5ff4b
West Lake Street,4.2,"1,300",d8741ad07da1fe49bf7650e052d5653e
,4.1,"1,200",1dc2daa97b411aaa7ed53083c82d1a6f
Mason Trail,4.1,"1,200",bf7a80c10e86b13aa2f8b1bcb621b8ee
Mason Trail,4.1,"1,200",d531c37afec54ec3424d4199cbf89983
,4.1,"1,200",f55bfecbe37249626ac5a23257e98ad6
West Pitkin Street,4.1,"1,200",ff7229fe65ec074856dc007791ed03f0
West Laurel Street,4.0,"1,200",2cd2a3ae682d8c4a2c68ffb796035591
,4.0,"1,200",4b72fb400337232290a97c5fe9a48f9b
South Shields Street,4.0,"1,200",5c5ad1d122cd7c68f85b1d5d0d7f6bd3
West Plum Street,4.0,"1,200",b789ddea36f552bb4ad0c200dbcecfce
West Laurel Street,3.9,"1,200",30d7bead71cb2671ca44cebbfafb3c04
Meridian Avenue,3.9,"1,200",46d2b2392b6df57538d8b91686cc251d
West Plum Street,3.9,"1,200",5f7d35021196208feb5573258dfd3251
West Laurel Street,3.9,"1,200",9a9806315bd382c593bde3b6f06e7d48
