Segment Name,Percentage of Matched Trips,Count of Matched Trips,Segment Geometry ID
,7.7,"4,100",026904cfa363114a64bb47aec6dbfcba
West Plum Street,6.9,"3,700",c7c09425c945f78f4a27fc46fae4980b
West Plum Street,6.5,"3,500",a67e92b6fb39ae5201f7971d8096e962
West Pitkin Street,6.4,"3,400",910f22081d6b511ada46cc4505105653
Meridian Avenue,6.3,"3,400",e10fa6d94a531fd7c102239d18a3a547
West Pitkin Street,6.2,"3,300",a78dd371b0ed7678cef8cbb7555c86c2
Meridian Avenue,6.1,"3,300",9ff39d83147d393233cef73f6ad308b6
West Plum Street,5.9,"3,100",67444c6fe912357970f1cf2a23368db0
University Avenue,5.8,"3,100",10a061501c02d2cc4f97662ee202757d
West Plum Street,5.8,"3,100",b77533549e370fa64916a9c3e65d9897
,5.7,"3,000",80b0dd76046e6a18c84baca0d1bfc650
University Avenue,5.7,"3,000",a76a4372e18e768785507d5efd7dcffb
West Plum Street,5.7,"3,000",cd5e6f7ed6de6b96f6b1b3a6ede5ff4b
University Avenue,5.7,"3,000",fcc7b4a21875cee1254c420797e75de1
West Plum Street,5.6,"3,000",3afa2d8cc95b97c86f6770494fdd1381
,5.6,"3,000",4e08b11aaf78a8ea46bb3367ecbb9a28
,5.6,"3,000",b5b5c76d342a508a199d4f331f6d1a65
,5.5,"2,900",77bf015262fc6ca25b3cd0c88e6ec0b8
West Plum Street,5.5,"2,900",aebe1594fa0f4f7b5046e1fdbed79a53
,5.5,"3,000",af79f1e206b14cc662da2fa310547fd0
West Pitkin Street,5.4,"2,900",308ee7da9d07232a4095daec887bc586
Meridian Avenue,5.3,"2,800",b00b6fce43fc92510d96c9aa9c823b29
West Pitkin Street,5.2,"2,800",33d4290092dda9ae5dd31b5e618ed33a
West Plum Street,5.2,"2,800",559cfb49972a1698afd7f7f59433d03f
Meridian Avenue,5.2,"2,800",df6ad33cc9ffb8b21f3b0f7afcefab2a
University Avenue,5.1,"2,700",290ac919f9c532b6c6ec253adc37e968
,5.1,"2,700",568b907d2766b66af1c40b928b23b506
,5.1,"2,700",9b4347ca2551dcd63f8a0d2dfa50e375
,5.1,"2,700",bcd2f22d8d58b7d4abef91c0d8fb4341
Meridian Avenue,5.0,"2,600",c72623bc1b216029e40c1cad5f545d29
,5.0,"2,600",cd4f82be4d904c35ac61a8f43b2a89aa
West Pitkin Street,5.0,"2,600",eb2f5779b612b78f35331bb100fbe2a1
,5.0,"2,600",f2c28299d611d844a6019ad9e36690d5
West Plum Street,5.0,"2,700",5f7d35021196208feb5573258dfd3251
,5.0,"2,700",5fabab8a1a0af43df35a3283bda66ec8
West Plum Street,5.0,"2,700",b789ddea36f552bb4ad0c200dbcecfce
,4.8,"2,500",04715c5751b384dc384e876e6adab2f3
,4.8,"2,500",2aa27383f4bf9419c2d8c76912c1ee61
,4.8,"2,500",aa51b745876349beade57c9358c40f4d
Meridian Avenue,4.8,"2,600",43f3c4c6594b12d454697837fc7f630e
West Lake Street,4.8,"2,600",4ce707d09cf6d384232c26ad6770daa0
West Pitkin Street,4.8,"2,600",be3e9a23f475fc38ab4363484cae2681
,4.7,"2,500",37e4ab301f7863b2623ffe8c22942b84
West Lake Street,4.7,"2,500",7d9256161efdde749618538c3a0474f0
West Laurel Street,4.7,"2,500",bf0fb4aade3d33884481040b8702c4d8
,4.7,"2,500",f55bfecbe37249626ac5a23257e98ad6
West Laurel Street,4.6,"2,400",1d72a26e02abe1eb7377937239c6d962
West Laurel Street,4.6,"2,400",2234d0b5ebe3138c4380718a577aa575
West Elizabeth Street,4.6,"2,400",510c5bb39695e31f5a2e0ff541c0928f
West Laurel Street,4.6,"2,400",54160edda6fa646a7d8b9b9ae9c9aa8c
West Laurel Street,4.6,"2,400",79fea9936207f586570941e1d0dd6348
West Laurel Street,4.6,"2,400",eaec2b45a109a9a4f82708ff19432818
West Laurel Street,4.6,"2,500",940c98778f681d11292d01e2ae8cd88a
West Laurel Street,4.6,"2,500",a519281094cd6006816d32e4eda3ab3f
West Laurel Street,4.6,"2,500",ab372f1a58c8f25c6a08d5f06cd03eb1
West Laurel Street,4.6,"2,500",b242c71daf8356ea9a92f6a6fc651035
Meridian Avenue,4.6,"2,500",cb62e982d1e7e09103b35ab3201c8283
West Laurel Street,4.6,"2,500",f7d82ad3ef0672889b8b75c7c2f2b912
West Laurel Street,4.5,"2,400",caec683b59cfc54060d01cc7a9ad6a98
West Laurel Street,4.5,"2,400",cf85eb3105bc3fb8835032870cd8a06c
West Lake Street,4.4,"2,300",26ee5660d4134f67310132c41d636dfa
Meridian Avenue,4.4,"2,300",b2f5fd44834cf8f2687cb7192a9115f1
South Shields Street,4.3,"2,300",2aef729020da67c6e85e349d3395531d
West Plum Street,4.3,"2,300",43045b0ed5f518ad3f6bb07e00803c22
,4.3,"2,300",c571abe520132dccea76928a0159b920
West Pitkin Street,4.2,"2,200",b9df83364c89f3d418cb98d40ee181f6
,4.2,"2,300",6918edd5145165a295e2dac7cc08d8e1
West Plum Street,4.2,"2,300",e473b184da7c5c04dbfb30f741fe22de
West Plum Street,4.1,"2,200",3406b0011afde4879f12e17973cfa697
West Pitkin Street,4.1,"2,200",3a2dcc4d870bc4ef62b5df2d7464920d
West Laurel Street,4.1,"2,200",654ceb664ef28dd7d5908ce3ad6bce89
South Shields Street,4.1,"2,200",67c84a0d4c7b9610ae97a14cf737c9b0
,4.1,"2,200",70b96c6e3f279ed0cb04147d478748e5
West Plum Street,4.1,"2,200",8f641a6175d86ddd35d215777fa97136
West Plum Street,4.1,"2,200",bcea1baf9c9b55584f61287f9e117cef
,4.0,"2,100",1dc2daa97b411aaa7ed53083c82d1a6f
,4.0,"2,100",bb8f374d5e0ec15970015dbce4a95c33
,4.0,"2,200",ccf645d21e3ca6dd4684dbf573865f9e
,3.9,"2,100",181bc598d39c54378531bd775a50f7c1
West Elizabeth Street,3.9,"2,100",20280269f36037f435983c770d585104
West Laurel Street,3.9,"2,100",2cd2a3ae682d8c4a2c68ffb796035591
West Laurel Street,3.9,"2,100",30d7bead71cb2671ca44cebbfafb3c04
West Laurel Street,3.9,"2,100",9a9806315bd382c593bde3b6f06e7d48
West Plum Street,3.9,"2,100",9c5d0ef0039e03c72213c960f34185f6
