Segment Name,Percentage of Matched Trips,Count of Matched Trips,Segment Geometry ID
,10.3,"3,100",026904cfa363114a64bb47aec6dbfcba
West Plum Street,7.4,"2,200",a67e92b6fb39ae5201f7971d8096e962
Meridian Avenue,7.3,"2,200",e10fa6d94a531fd7c102239d18a3a547
,7.2,"2,200",80b0dd76046e6a18c84baca0d1bfc650
West Pitkin Street,7.2,"2,200",910f22081d6b511ada46cc4505105653
West Pitkin Street,7.2,"2,200",a78dd371b0ed7678cef8cbb7555c86c2
,7.1,"2,100",4e08b11aaf78a8ea46bb3367ecbb9a28
,7.1,"2,100",77bf015262fc6ca25b3cd0c88e6ec0b8
Meridian Avenue,7.1,"2,100",9ff39d83147d393233cef73f6ad308b6
,7.1,"2,100",af79f1e206b14cc662da2fa310547fd0
,7.1,"2,100",b5b5c76d342a508a199d4f331f6d1a65
West Plum Street,6.8,"2,000",67444c6fe912357970f1cf2a23368db0
University Avenue,6.7,"2,000",10a061501c02d2cc4f97662ee202757d
,6.6,"2,000",9b4347ca2551dcd63f8a0d2dfa50e375
West Plum Street,6.6,"2,000",c7c09425c945f78f4a27fc46fae4980b
University Avenue,6.4,"1,900",a76a4372e18e768785507d5efd7dcffb
University Avenue,6.4,"1,900",fcc7b4a21875cee1254c420797e75de1
West Pitkin Street,6.2,"1,800",308ee7da9d07232a4095daec887bc586
West Plum Street,6.2,"1,900",aebe1594fa0f4f7b5046e1fdbed79a53
,6.1,"1,800",568b907d2766b66af1c40b928b23b506
West Plum Street,6.1,"1,800",b77533549e370fa64916a9c3e65d9897
,6.1,"1,800",bcd2f22d8d58b7d4abef91c0d8fb4341
West Pitkin Street,6.0,"1,800",33d4290092dda9ae5dd31b5e618ed33a
Meridian Avenue,6.0,"1,800",b00b6fce43fc92510d96c9aa9c823b29
,5.9,"1,800",5fabab8a1a0af43df35a3283bda66ec8
,5.9,"1,800",cd4f82be4d904c35ac61a8f43b2a89aa
West Plum Street,5.9,"1,800",cd5e6f7ed6de6b96f6b1b3a6ede5ff4b
Meridian Avenue,5.8,"1,800",df6ad33cc9ffb8b21f3b0f7afcefab2a
West Plum Street,5.6,"1,700",3afa2d8cc95b97c86f6770494fdd1381
West Pitkin Street,5.6,"1,700",be3e9a23f475fc38ab4363484cae2681
University Avenue,5.4,"1,600",290ac919f9c532b6c6ec253adc37e968
,5.4,"1,600",f2c28299d611d844a6019ad9e36690d5
West Lake Street,5.3,"1,600",26ee5660d4134f67310132c41d636dfa
,5.3,"1,600",4b72fb400337232290a97c5fe9a48f9b
West Lake Street,5.3,"1,600",4ce707d09cf6d384232c26ad6770daa0
,5.2,"1,600",04715c5751b384dc384e876e6adab2f3
,5.2,"1,600",2aa27383f4bf9419c2d8c76912c1ee61
West Lake Street,5.2,"1,600",7d9256161efdde749618538c3a0474f0
,5.2,"1,600",aa51b745876349beade57c9358c40f4d
West Pitkin Street,5.2,"1,600",b9df83364c89f3d418cb98d40ee181f6
,5.2,"1,600",f55bfecbe37249626ac5a23257e98ad6
,5.1,"1,500",37e4ab301f7863b2623ffe8c22942b84
West Plum Street,5.1,"1,500",559cfb49972a1698afd7f7f59433d03f
West Pitkin Street,5.1,"1,500",eb2f5779b612b78f35331bb100fbe2a1
,5.0,"1,500",261c2b1084fad79eb96e21189b560b90
,4.8,"1,400",9ef9fa97d501e6385197f79bd681a476
,4.7,"1,400",16ffd24fd13868cbd9221910f9ffde8a
West Pitkin Street,4.7,"1,400",3a2dcc4d870bc4ef62b5df2d7464920d
West Plum Street,4.7,"1,400",5f7d35021196208feb5573258dfd3251
,4.7,"1,400",70b96c6e3f279ed0cb04147d478748e5
West Laurel Street,4.7,"1,400",940c98778f681d11292d01e2ae8cd88a
West Laurel Street,4.7,"1,400",a519281094cd6006816d32e4eda3ab3f
West Laurel Street,4.7,"1,400",ab372f1a58c8f25c6a08d5f06cd03eb1
West Plum Street,4.7,"1,400",b789ddea36f552bb4ad0c200dbcecfce
West Lake Street,4.7,"1,400",d8741ad07da1fe49bf7650e052d5653e
,4.6,"1,400",8820e55336d966f4679e6ce358990bba
West Laurel Street,4.6,"1,400",bf0fb4aade3d33884481040b8702c4d8
Meridian Avenue,4.6,"1,400",cb62e982d1e7e09103b35ab3201c8283
West Pitkin Street,4.6,"1,400",f052723af6d7b791b38a9cc6f33aa693
West Laurel Street,4.6,"1,400",f7d82ad3ef0672889b8b75c7c2f2b912
West Laurel Street,4.5,"1,400",caec683b59cfc54060d01cc7a9ad6a98
West Laurel Street,4.5,"1,400",cf85eb3105bc3fb8835032870cd8a06c
West Laurel Street,4.4,"1,300",2234d0b5ebe3138c4380718a577aa575
West Laurel Street,4.4,"1,300",79fea9936207f586570941e1d0dd6348
West Laurel Street,4.4,"1,300",b242c71daf8356ea9a92f6a6fc651035
Meridian Avenue,4.4,"1,300",b2f5fd44834cf8f2687cb7192a9115f1
,4.4,"1,300",d7a987bba26f4c5638698720b357044b
West Laurel Street,4.4,"1,300",eaec2b45a109a9a4f82708ff19432818
,4.4,"1,300",f5f1cf4270463a75660a000557a27b12
,4.3,"1,300",10508a65132a5d75c4befcaca243a11d
West Laurel Street,4.3,"1,300",1d72a26e02abe1eb7377937239c6d962
,4.3,"1,300",1dc2daa97b411aaa7ed53083c82d1a6f
South Shields Street,4.3,"1,300",2aef729020da67c6e85e349d3395531d
West Elizabeth Street,4.3,"1,300",510c5bb39695e31f5a2e0ff541c0928f
West Laurel Street,4.3,"1,300",54160edda6fa646a7d8b9b9ae9c9aa8c
,4.3,"1,300",6f020ceb05e3c3437685103e4d251286
,4.3,"1,300",bb8f374d5e0ec15970015dbce4a95c33
West Plum Street,4.3,"1,300",e473b184da7c5c04dbfb30f741fe22de
West Plum Street,4.2,"1,200",8f641a6175d86ddd35d215777fa97136
West Plum Street,4.2,"1,200",bcea1baf9c9b55584f61287f9e117cef
