Segment Name,Percentage of Matched Trips,Count of Matched Trips,Segment Geometry ID
West Plum Street,9.9,"6,400",c7c09425c945f78f4a27fc46fae4980b
Meridian Avenue,9.7,"6,400",e10fa6d94a531fd7c102239d18a3a547
West Plum Street,9.5,"6,200",67444c6fe912357970f1cf2a23368db0
West Plum Street,9.5,"6,200",a67e92b6fb39ae5201f7971d8096e962
Meridian Avenue,9.5,"6,200",9ff39d83147d393233cef73f6ad308b6
,9.0,"5,900",026904cfa363114a64bb47aec6dbfcba
West Plum Street,8.8,"5,800",aebe1594fa0f4f7b5046e1fdbed79a53
University Avenue,8.5,"5,500",10a061501c02d2cc4f97662ee202757d
University Avenue,8.4,"5,500",fcc7b4a21875cee1254c420797e75de1
West Plum Street,8.0,"5,200",b77533549e370fa64916a9c3e65d9897
West Plum Street,8.0,"5,200",cd5e6f7ed6de6b96f6b1b3a6ede5ff4b
West Plum Street,7.9,"5,200",3afa2d8cc95b97c86f6770494fdd1381
West Plum Street,7.8,"5,100",559cfb49972a1698afd7f7f59433d03f
Meridian Avenue,7.6,"4,900",b00b6fce43fc92510d96c9aa9c823b29
Meridian Avenue,7.5,"4,900",df6ad33cc9ffb8b21f3b0f7afcefab2a
Meridian Avenue,7.3,"4,800",c72623bc1b216029e40c1cad5f545d29
Meridian Avenue,7.1,"4,600",43f3c4c6594b12d454697837fc7f630e
West Pitkin Street,7.0,"4,600",910f22081d6b511ada46cc4505105653
West Pitkin Street,6.9,"4,500",a78dd371b0ed7678cef8cbb7555c86c2
University Avenue,6.9,"4,500",a76a4372e18e768785507d5efd7dcffb
,6.8,"4,400",80b0dd76046e6a18c84baca0d1bfc650
West Plum Street,6.8,"4,500",5f7d35021196208feb5573258dfd3251
West Plum Street,6.7,"4,400",b789ddea36f552bb4ad0c200dbcecfce
,6.6,"4,300",4e08b11aaf78a8ea46bb3367ecbb9a28
,6.6,"4,300",b5b5c76d342a508a199d4f331f6d1a65
,6.5,"4,300",af79f1e206b14cc662da2fa310547fd0
,6.4,"4,200",77bf015262fc6ca25b3cd0c88e6ec0b8
West Laurel Street,6.3,"4,100",940c98778f681d11292d01e2ae8cd88a
West Laurel Street,6.3,"4,100",ab372f1a58c8f25c6a08d5f06cd03eb1
West Laurel Street,6.3,"4,100",bf0fb4aade3d33884481040b8702c4d8
West Laurel Street,6.3,"4,100",f7d82ad3ef0672889b8b75c7c2f2b912
West Laurel Street,6.1,"4,000",caec683b59cfc54060d01cc7a9ad6a98
,6.1,"4,000",9b4347ca2551dcd63f8a0d2dfa50e375
West Laurel Street,6.1,"4,000",a519281094cd6006816d32e4eda3ab3f
West Laurel Street,6.1,"4,000",cf85eb3105bc3fb8835032870cd8a06c
West Laurel Street,6.0,"3,900",1d72a26e02abe1eb7377937239c6d962
West Laurel Street,6.0,"3,900",b242c71daf8356ea9a92f6a6fc651035
West Laurel Street,6.0,"3,900",eaec2b45a109a9a4f82708ff19432818
,6.0,"3,900",f55bfecbe37249626ac5a23257e98ad6
West Plum Street,5.9,"3,800",bcea1baf9c9b55584f61287f9e117cef
West Laurel Street,5.9,"3,900",79fea9936207f586570941e1d0dd6348
West Laurel Street,5.8,"3,800",54160edda6fa646a7d8b9b9ae9c9aa8c
Meridian Avenue,5.8,"3,800",46d2b2392b6df57538d8b91686cc251d
,5.8,"3,800",4b72fb400337232290a97c5fe9a48f9b
West Laurel Street,5.7,"3,700",2234d0b5ebe3138c4380718a577aa575
West Pitkin Street,5.7,"3,800",eb2f5779b612b78f35331bb100fbe2a1
Meridian Avenue,5.7,"3,800",cb62e982d1e7e09103b35ab3201c8283
South Shields Street,5.5,"3,600",2aef729020da67c6e85e349d3395531d
South Shields Street,5.4,"3,500",67c84a0d4c7b9610ae97a14cf737c9b0
West Laurel Street,5.3,"3,400",e0f831b1220f770cb436dc8322576867
West Plum Street,5.3,"3,500",3406b0011afde4879f12e17973cfa697
West Pitkin Street,5.2,"3,400",33d4290092dda9ae5dd31b5e618ed33a
West Laurel Street,5.2,"3,400",69d961d6ca3fee85e1426d68cb8196bb
West Laurel Street,5.2,"3,400",d7a1f6f3544e56966992d733a8f6478e
,5.2,"3,400",568b907d2766b66af1c40b928b23b506
,5.1,"3,300",37e4ab301f7863b2623ffe8c22942b84
West Laurel Street,5.1,"3,300",654ceb664ef28dd7d5908ce3ad6bce89
West Laurel Street,5.1,"3,300",da9702402c3dae978522c2a9ce2be16a
University Avenue,5.1,"3,300",290ac919f9c532b6c6ec253adc37e968
West Laurel Street,5.0,"3,200",2cd2a3ae682d8c4a2c68ffb796035591
,5.0,"3,300",16ffd24fd13868cbd9221910f9ffde8a
West Laurel Street,5.0,"3,300",811af901d483afc027f8867d581c44e4
,5.0,"3,300",8820e55336d966f4679e6ce358990bba
,5.0,"3,300",f2c28299d611d844a6019ad9e36690d5
,5.0,"3,300",5fabab8a1a0af43df35a3283bda66ec8
,5.0,"3,300",b65ae222ec8ac1d6bef19cfcaa0bb4aa
,5.0,"3,300",bcd2f22d8d58b7d4abef91c0d8fb4341
West Laurel Street,4.9,"3,200",15727d5ff9076c0f3cfe66b276f2d6b6
,4.9,"3,200",9ef9fa97d501e6385197f79bd681a476
West Laurel Street,4.9,"3,200",aa7da582fc13ebdb671afbeb747da77d
West Laurel Street,4.9,"3,200",e7f568b436af22c3c358ef5fcd94cf9f
,4.9,"3,200",cd4f82be4d904c35ac61a8f43b2a89aa
West Plum Street,4.9,"3,200",f73fda6a1c4284d61a066c095715f184
,4.9,"3,200",04715c5751b384dc384e876e6adab2f3
,4.9,"3,200",2aa27383f4bf9419c2d8c76912c1ee61
,4.9,"3,200",57075355a7f0f2cabbbca6149e4f4b24
West Pitkin Street,4.8,"3,100",308ee7da9d07232a4095daec887bc586
West Laurel Street,4.8,"3,100",30d7bead71cb2671ca44cebbfafb3c04
West Plum Street,4.8,"3,100",532d2b8080ea80a6c13c7efb7d8f75c8
,4.8,"3,100",c67a0d7dcbc7dbe824a2d757a2377727
,4.8,"3,200",aa51b745876349beade57c9358c40f4d
Meridian Avenue,4.7,"3,000",f59d0cd82705be96da15359b74ed4cd2
,4.7,"3,100",10508a65132a5d75c4befcaca243a11d
,4.7,"3,100",f64464c1f8992c3893eff3ffcc18aa3d
,4.6,"3,000",261c2b1084fad79eb96e21189b560b90
West Laurel Street,4.6,"3,000",48575baca75eed55dd70f9fda785930b
West Lake Street,4.6,"3,000",4ce707d09cf6d384232c26ad6770daa0
West Laurel Street,4.6,"3,000",9a9806315bd382c593bde3b6f06e7d48
West Laurel Street,4.6,"3,000",a4988f4475144e1b361dfe782798f738
West Pitkin Street,4.6,"3,000",be3e9a23f475fc38ab4363484cae2681
,4.6,"3,000",8ce52d18d494f066030c5dad3bd02c48
Meridian Avenue,4.5,"2,900",b2f5fd44834cf8f2687cb7192a9115f1
West Plum Street,4.5,"2,900",063cd37069ed22dc59ac1c108d128cfd
West Laurel Street,4.5,"2,900",a44ba7697a2c790fc67b75f0222b609f
Meridian Avenue,4.5,"2,900",be4486fb8043b2a4e3aa5bb5a5e7292a
,4.5,"2,900",71bcda29d1289d1c6612a14ef7196301
,4.5,"2,900",32726e116b32ffa9a4297f3bdc429f8b
,4.5,"2,900",f46c977256868acf5bae684c647cd9aa
,4.5,"2,900",b038de609d198ca2101c0e31342380c5
West Lake Street,4.4,"2,900",26ee5660d4134f67310132c41d636dfa
