latitude,longitude
40.577476,-105.08387
40.577396,-105.083876
40.577577,-105.083747
40.577472,-105.08374
40.577452,-105.083781
40.577482,-105.083737
40.571213,-105.047419
40.558696,-105.057833
40.571213,-105.047419
40.588947,-105.063179
40.587751,-105.073574
40.573458,-105.078577
40.573539,-105.078559
40.573594,-105.078582
40.573404,-105.078585
40.573392,-105.078703
40.573512,-105.078538
40.573592,-105.078669
40.564839,-105.036538
40.524567,-105.067038
40.568597,-105.075786
40.556095,-105.050636
40.582702,-105.082721
40.584963,-105.095364
40.552313,-105.059302
40.572695,-105.115345
40.589405,-105.073565
40.588916,-105.06316
40.588916,-105.06316
40.588916,-105.06316
40.589997,-105.05427
40.612733,-105.076603
40.587762,-105.073624
40.587764,-105.073625
40.587741,-105.073585
40.581625,-105.079247
40.524717,-105.052137
40.524307,-105.10974
40.574263,-105.080205
40.573613,-105.085038
40.576525,-105.08192
40.569455,-105.07541
40.55607,-105.050653
40.576343,-105.087958
40.532848,-105.075068
40.562018,-105.111373
40.556381,-105.082386
40.556381,-105.082386
40.571489,-105.094008
40.571489,-105.094008
40.571489,-105.094008
40.573845,-105.085951
40.571489,-105.094008
40.574833,-105.085349
40.574833,-105.085349
40.574833,-105.085349
40.566369,-105.07838
40.577422,-105.081269
40.577834,-105.082461
40.577834,-105.082461
40.570025,-105.120315
40.570025,-105.120315
40.589025,-105.08883
40.570943,-105.085433
40.56975,-105.075864
40.571009,-105.082824
40.566369,-105.07838
40.588754,-105.080556
40.571489,-105.094008
40.565395,-105.052276
40.570025,-105.120315
40.577006,-105.079548
40.577006,-105.079548
40.578504,-105.083159
40.578507,-105.083097
40.56975,-105.075864
40.56975,-105.075864
40.574738,-105.089133
40.574738,-105.089133
40.571788,-105.094771
40.571788,-105.094771
40.571489,-105.094008
40.571951,-105.076678
40.57191,-105.076881
40.570981,-105.083105
40.570981,-105.083105
40.570943,-105.085433
40.570943,-105.085433
40.564049,-105.029913
40.564049,-105.029913
40.547958,-105.039919
40.547958,-105.039919
40.547958,-105.039919
40.570025,-105.120315
40.570025,-105.120315
40.588487,-105.080765
40.588487,-105.080765
40.588487,-105.080765
40.559402,-105.12933
40.559402,-105.12933
40.556989,-105.107537
40.565387,-105.052268
40.531114,-105.075863
40.531114,-105.075863
40.566139,-105.109275
40.595263,-105.062714
40.595264,-105.062758
40.566376,-105.078447
40.584714,-105.072264
40.584714,-105.072264
40.58851,-105.080747
40.58851,-105.080747
40.566228,-105.094453
40.585502,-105.07425
40.572268,-105.094482
40.572268,-105.094482
40.572435,-105.090628
40.571032,-105.084375
40.560547,-105.084285
40.56749,-105.06278
40.572318,-105.084582
40.572318,-105.084582
40.572222,-105.084958
40.57228,-105.084799
40.573888,-105.085937
40.574855,-105.085393
40.574817,-105.08543
40.574855,-105.085393
40.56749,-105.06278
40.572788,-105.083512
40.572788,-105.083512
40.572777,-105.082722
40.576557,-105.090113
40.576557,-105.090113
40.576612,-105.089088
40.57683,-105.08854
40.57744,-105.093078
40.57744,-105.093078
40.577513,-105.093193
40.577513,-105.093193
40.574808,-105.09412
40.574808,-105.09412
40.575345,-105.083295
40.57891,-105.078872
40.578593,-105.07802
40.57891,-105.078872
40.578593,-105.07802
40.583997,-105.080612
40.583997,-105.080612
40.59536,-105.093182
40.59536,-105.093182
40.575448,-105.075835
40.56679,-105.079023
40.56679,-105.079023
40.564302,-105.081352
40.564302,-105.081352
40.57333,-105.078273
40.564118,-105.081812
40.574713,-105.057452
40.574713,-105.057452
40.573543,-105.078543
40.57352,-105.078553
40.580002,-105.063765
40.580002,-105.063765
40.576432,-105.060647
40.576432,-105.060647
40.57603,-105.076273
40.57603,-105.076273
40.589618,-105.078103
40.574817,-105.073163
40.574817,-105.073163
40.589625,-105.078298
40.589618,-105.078297
40.56933,-105.087172
40.56933,-105.087172
40.574868,-105.094122
40.57551,-105.094705
40.57551,-105.094705
40.573658,-105.08459
40.573658,-105.08459
40.575967,-105.082357
40.575967,-105.082357
40.577475,-105.081225
40.577475,-105.081225
40.574688,-105.057512
40.611795,-105.08595
40.601513,-105.074283
40.601513,-105.074283
40.5638,-105.100946
40.589487,-105.130137
40.562677,-105.13152
40.595053,-105.062108
40.591603,-105.096383
40.591603,-105.096383
40.584633,-105.10013
40.574742,-105.0575
40.574742,-105.0575
40.574742,-105.0575
40.591532,-105.096785
40.504532,-105.077663
40.504532,-105.077663
40.538215,-105.077545
40.538215,-105.077545
40.559388,-105.128308
40.553735,-105.036777
40.553735,-105.036777
40.570885,-105.1183
40.557438,-105.087685
40.556467,-105.086335
40.556467,-105.086335
40.557438,-105.087685
40.570885,-105.1183
40.57089,-105.118308
40.57089,-105.118308
40.589247,-105.109365
40.589247,-105.109365
40.58496,-105.100578
40.58496,-105.100578
40.557432,-105.087687
40.557432,-105.087687
40.574272,-105.063313
40.574272,-105.063313
40.573587,-105.05591
40.573587,-105.05591
40.574792,-105.057543
40.574792,-105.057543
40.577405,-105.066532
40.577405,-105.066532
40.58479,-105.07228
40.573073,-105.057743
40.574365,-105.063555
40.591518,-105.103562
40.589043,-105.09849
40.589043,-105.09849
40.589028,-105.098462
40.589028,-105.098462
40.584787,-105.07225
40.589085,-105.074367
40.589085,-105.074367
40.585679,-105.099487
